Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     134,          19600.0,      146.269,        1.19108             
2,     130,          30875.0,      237.500,        2.05789             
3,     13,           9895.0,       761.154,        2.47118             
4,     24,           105980.0,     4415.833,       3.23707             
5,     13,           71435.0,      5495.000,       3.8462              
6,     27,           127875.0,     4736.111,       4.57268             
7,     28,           162650.0,     5808.929,       5.14269             
8,     59,           79840.0,      1353.220,       5.45395             
9,     42,           147435.0,     3510.357,       5.35199             
10,    30,           58745.0,      1958.167,       5.36239             
11,    40,           133780.0,     3344.500,       5.36895             
12,    35,           128405.0,     3668.714,       5.1997              
13,    41,           60335.0,      1471.585,       5.64406             
14,    1,            70.0,         70.000,         6.20023             
15,    5,            29720.0,      5944.000,       6.60462             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    41,           108095.0,     2636.463,       6.18533             
17,    30,           104010.0,     3467.000,       6.13398             
18,    37,           80760.0,      2182.703,       6.27699             
19,    39,           119665.0,     3068.333,       6.26181             
20,    52,           102160.0,     1964.615,       6.20618             
21,    37,           146185.0,     3950.946,       6.38472             
22,    18,           57115.0,      3173.056,       6.5851              
23,    1,            1800.0,       1800.000,       6.7225              
24,    41,           59790.0,      1458.293,       6.82567             
25,    2,            7530.0,       3765.000,       6.76608             
26,    1,            265.0,        265.000,        6.64943             
27,    19,           35590.0,      1873.158,       6.51029             
28,    58,           122640.0,     2114.483,       6.58144             
29,    26,           125660.0,     4833.077,       6.52634             
30,    31,           142185.0,     4586.613,       6.51308             
31,    1,            265.0,        265.000,        6.82532             
32,    6,            13470.0,      2245.000,       6.85117             
33,    40,           151085.0,     3777.125,       6.96662             
34,    36,           166065.0,     4612.917,       6.92935             
35,    33,           132770.0,     4023.333,       6.9694              
36,    37,           55635.0,      1503.649,       7.08403             
37,    1,            150.0,        150.000,        7.10367             
38,    6,            31900.0,      5316.667,       6.83237             
39,    46,           143605.0,     3121.848,       6.72317             
40,    17,           50905.0,      2994.412,       6.88276             
41,    53,           124625.0,     2351.415,       7.05398             
42,    26,           58445.0,      2247.885,       7.31917             
43,    32,           110600.0,     3456.250,       6.95723             
44,    50,           74670.0,      1493.400,       6.91371             
45,    33,           132455.0,     4013.788,       7.25329             
46,    33,           165560.0,     5016.970,       7.54386             
47,    21,           50525.0,      2405.952,       7.66816             
48,    4,            17050.0,      4262.500,       7.74113             
49,    46,           156490.0,     3401.957,       7.64057             
50,    29,           156195.0,     5386.034,       7.69962             
51,    1,            140.0,        140.000,        7.81191             
52,    12,           62145.0,      5178.750,       7.60732             
53,    44,           122625.0,     2786.932,       7.40806             
54,    54,           120990.0,     2240.556,       7.2789              
55,    51,           126300.0,     2476.471,       7.45315             
56,    45,           145415.0,     3231.444,       7.64077             
57,    48,           124210.0,     2587.708,       7.7019              
58,    15,           32605.0,      2173.667,       7.48938             
