Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     226,          28580.0,      126.460,        1.22945             
2,     231,          71680.0,      310.303,        1.96825             
3,     186,          79900.0,      429.570,        2.69501             
4,     54,           59870.0,      1108.704,       3.0647              
5,     35,           115720.0,     3306.286,       3.75292             
6,     3,            7180.0,       2393.333,       4.07014             
7,     74,           112850.0,     1525.000,       4.14685             
8,     6,            22700.0,      3783.333,       4.01881             
9,     68,           180750.0,     2658.088,       3.78677             
10,    1,            5100.0,       5100.000,       3.91879             
11,    40,           189840.0,     4746.000,       4.14054             
12,    3,            11690.0,      3896.667,       4.43287             
13,    7,            21500.0,      3071.429,       4.49044             
14,    21,           63460.0,      3021.905,       4.67101             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    4,            15520.0,      3880.000,       5.41091             
17,    66,           186350.0,     2823.485,       5.72926             
18,    6,            26020.0,      4336.667,       5.97358             
19,    4,            20220.0,      5055.000,       6.08805             
20,    25,           80070.0,      3202.800,       6.39883             
21,    20,           76400.0,      3820.000,       6.13092             
22,    6,            21510.0,      3585.000,       5.72376             
23,    5,            17040.0,      3408.000,       5.21176             
24,    1,            1740.0,       1740.000,       5.00915             
25,    47,           103820.0,     2208.936,       4.76214             
26,    70,           313280.0,     4475.429,       4.74276             
27,    73,           322500.0,     4417.808,       5.34597             
28,    62,           108590.0,     1751.452,       5.22458             
29,    49,           160360.0,     3272.653,       5.09608             
30,    1,            4800.0,       4800.000,       4.29667             
31,    2,            7500.0,       3750.000,       3.54683             
32,    7,            23430.0,      3347.143,       3.415               
33,    5,            19600.0,      3920.000,       3.44769             
34,    75,           149520.0,     1993.600,       4.63477             
35,    7,            29800.0,      4257.143,       4.80785             
36,    1,            4520.0,       4520.000,       4.80725             
37,    71,           301400.0,     4245.070,       4.88568             
38,    45,           190160.0,     4225.778,       4.72861             
39,    38,           99750.0,      2625.000,       4.71221             
40,    1,            5850.0,       5850.000,       4.61536             
41,    1,            4600.0,       4600.000,       4.55546             
42,    30,           119370.0,     3979.000,       3.89576             
43,    53,           154550.0,     2916.038,       4.29846             
44,    4,            20100.0,      5025.000,       4.21487             
45,    6,            25990.0,      4331.667,       4.24254             
46,    4,            19770.0,      4942.500,       4.52668             
47,    1,            5150.0,       5150.000,       4.52377             
48,    40,           83270.0,      2081.750,       4.82229             
49,    5,            24960.0,      4992.000,       4.70807             
50,    5,            16920.0,      3384.000,       4.61368             
51,    1,            2480.0,       2480.000,       4.08344             
52,    3,            12260.0,      4086.667,       4.2099              
53,    4,            18450.0,      4612.500,       4.27789             
54,    1,            5150.0,       5150.000,       4.54117             
55,    7,            15720.0,      2245.714,       5.12284             
56,    1,            5100.0,       5100.000,       5.10231             
57,    79,           362860.0,     4593.165,       4.71797             
58,    1,            4580.0,       4580.000,       4.85478             
