Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     27,           2755.0,       102.037,        1.16608             
2,     137,          29740.0,      217.080,        2.417               
3,     4,            2035.0,       508.750,        2.86473             
4,     18,           78650.0,      4369.444,       3.67844             
5,     31,           138100.0,     4454.839,       4.3269              
6,     36,           123315.0,     3425.417,       4.88822             
7,     35,           131365.0,     3753.286,       5.29767             
8,     27,           111115.0,     4115.370,       5.88863             
9,     2,            2185.0,       1092.500,       6.54978             
10,    53,           75325.0,      1421.226,       6.86206             
11,    8,            24925.0,      3115.625,       7.09335             
12,    1,            70.0,         70.000,         7.07838             
13,    34,           128970.0,     3793.235,       6.91385             
14,    46,           133110.0,     2893.696,       7.20015             
15,    29,           113215.0,     3903.966,       7.31209             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    70,           11760.0,      168.000,        6.42788             
17,    18,           18415.0,      1023.056,       6.54257             
18,    1,            150.0,        150.000,        6.5984              
19,    1,            265.0,        265.000,        6.83661             
20,    45,           96885.0,      2153.000,       6.82692             
21,    1,            60.0,         60.000,         6.90002             
22,    1,            355.0,        355.000,        6.97515             
23,    19,           56675.0,      2982.895,       7.15478             
24,    2,            2580.0,       1290.000,       7.01182             
25,    45,           88605.0,      1969.000,       6.94242             
26,    25,           58200.0,      2328.000,       7.12067             
27,    5,            6410.0,       1282.000,       7.16876             
28,    2,            1570.0,       785.000,        7.16908             
29,    30,           115210.0,     3840.333,       7.17666             
30,    6,            7115.0,       1185.833,       7.12144             
31,    1,            150.0,        150.000,        7.11106             
32,    3,            5565.0,       1855.000,       7.16527             
33,    3,            4430.0,       1476.667,       7.7497              
34,    48,           74975.0,      1561.979,       7.69397             
35,    1,            70.0,         70.000,         7.56117             
36,    24,           34440.0,      1435.000,       7.59637             
37,    3,            2905.0,       968.333,        7.51647             
38,    1,            70.0,         70.000,         7.43592             
39,    17,           58035.0,      3413.824,       7.50591             
40,    3,            10020.0,      3340.000,       7.46911             
41,    1,            265.0,        265.000,        7.41924             
42,    34,           100600.0,     2958.824,       7.35992             
43,    36,           97205.0,      2700.139,       7.36904             
44,    1,            4560.0,       4560.000,       7.54819             
45,    1,            2120.0,       2120.000,       7.73676             
46,    46,           105715.0,     2298.152,       7.73063             
47,    35,           150725.0,     4306.429,       7.71509             
48,    15,           34020.0,      2268.000,       7.56651             
49,    1,            1700.0,       1700.000,       7.61981             
50,    49,           115375.0,     2354.592,       7.44891             
51,    38,           133835.0,     3521.974,       7.58825             
52,    39,           131000.0,     3358.974,       7.38176             
53,    74,           77840.0,      1051.892,       7.11054             
54,    44,           138515.0,     3148.068,       7.21184             
55,    36,           154420.0,     4289.444,       7.11779             
56,    10,           24010.0,      2401.000,       7.34567             
