Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     1,            70.0,         70.000,         0.956971            
2,     178,          17350.0,      97.472,         1.65876             
3,     94,           35135.0,      373.777,        2.27098             
4,     33,           79205.0,      2400.152,       2.82439             
5,     11,           36640.0,      3330.909,       3.77068             
6,     26,           139315.0,     5358.269,       4.67334             
7,     4,            13755.0,      3438.750,       5.39095             
8,     18,           69325.0,      3851.389,       5.63432             
9,     5,            10100.0,      2020.000,       6.17852             
10,    28,           65870.0,      2352.500,       5.96792             
11,    34,           133265.0,     3919.559,       6.40059             
12,    1,            150.0,        150.000,        6.4177              
13,    29,           161230.0,     5559.655,       6.78702             
14,    1,            265.0,        265.000,        7.00438             
15,    21,           77860.0,      3707.619,       7.16728             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    54,           95925.0,      1776.389,       6.55334             
17,    52,           111545.0,     2145.096,       6.54028             
18,    35,           107730.0,     3078.000,       6.91132             
19,    1,            2970.0,       2970.000,       7.12062             
20,    1,            70.0,         70.000,         7.21728             
21,    43,           126160.0,     2933.953,       7.44637             
22,    32,           83010.0,      2594.062,       7.40385             
23,    6,            17230.0,      2871.667,       7.16252             
24,    6,            3810.0,       635.000,        7.23562             
25,    8,            37190.0,      4648.750,       6.81345             
26,    1,            70.0,         70.000,         7.12197             
27,    28,           74045.0,      2644.464,       7.05344             
28,    59,           117190.0,     1986.271,       7.09398             
29,    13,           21635.0,      1664.231,       7.10375             
30,    35,           137030.0,     3915.143,       7.29898             
31,    42,           105055.0,     2501.310,       7.21286             
32,    25,           60110.0,      2404.400,       7.12861             
33,    1,            265.0,        265.000,        7.26054             
34,    22,           63505.0,      2886.591,       7.12083             
35,    40,           122640.0,     3066.000,       7.03585             
36,    52,           124695.0,     2397.981,       7.13238             
37,    41,           109145.0,     2662.073,       7.26429             
38,    37,           154380.0,     4172.432,       7.07705             
39,    54,           91715.0,      1698.426,       7.41916             
40,    27,           83460.0,      3091.111,       7.45774             
41,    60,           84470.0,      1407.833,       7.41364             
42,    38,           100130.0,     2635.000,       7.44371             
43,    9,            9150.0,       1016.667,       7.31537             
44,    60,           129380.0,     2156.333,       7.3499              
45,    2,            6780.0,       3390.000,       7.40671             
46,    43,           140850.0,     3275.581,       7.51889             
47,    54,           122415.0,     2266.944,       7.55968             
48,    1,            1280.0,       1280.000,       7.68518             
49,    17,           34055.0,      2003.235,       7.67153             
50,    50,           159285.0,     3185.700,       7.77607             
51,    46,           81520.0,      1772.174,       7.62296             
52,    36,           134760.0,     3743.333,       7.66095             
53,    28,           95420.0,      3407.857,       7.70151             
54,    38,           154050.0,     4053.947,       7.43626             
55,    1,            60.0,         60.000,         7.40479             
56,    62,           120425.0,     1942.339,       7.31528             
