Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     238,          23860.0,      100.252,        1.21125             
2,     122,          26660.0,      218.525,        2.06032             
3,     31,           66735.0,      2152.742,       2.55978             
4,     1,            70.0,         70.000,         3.30534             
5,     13,           61155.0,      4704.231,       4.00815             
6,     6,            34165.0,      5694.167,       4.61214             
7,     28,           126215.0,     4507.679,       5.17458             
8,     23,           119560.0,     5198.261,       5.43645             
9,     17,           65315.0,      3842.059,       5.58203             
10,    30,           123275.0,     4109.167,       5.69734             
11,    5,            25760.0,      5152.000,       5.96085             
12,    1,            150.0,        150.000,        5.89715             
13,    18,           106065.0,     5892.500,       5.94244             
14,    25,           75195.0,      3007.800,       5.93797             
15,    22,           122000.0,     5545.455,       5.96983             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    1,            150.0,        150.000,        5.47084             
17,    24,           131525.0,     5480.208,       5.64724             
18,    6,            29300.0,      4883.333,       5.94905             
19,    1,            70.0,         70.000,         6.09119             
20,    26,           102275.0,     3933.654,       6.53571             
21,    16,           27255.0,      1703.438,       6.59846             
22,    27,           69280.0,      2565.926,       6.96391             
23,    1,            60.0,         60.000,         6.97635             
24,    8,            10680.0,      1335.000,       6.73379             
25,    4,            15300.0,      3825.000,       6.61147             
26,    28,           146900.0,     5246.429,       6.51613             
27,    2,            6970.0,       3485.000,       6.27823             
28,    4,            16620.0,      4155.000,       6.05254             
29,    30,           116965.0,     3898.833,       6.01884             
30,    2,            9550.0,       4775.000,       6.25204             
31,    28,           119115.0,     4254.107,       6.0637              
32,    6,            3565.0,       594.167,        6.18888             
33,    5,            35370.0,      7074.000,       5.97874             
34,    5,            29365.0,      5873.000,       6.21291             
35,    26,           151080.0,     5810.769,       6.24075             
36,    28,           147335.0,     5261.964,       6.20651             
37,    4,            8890.0,       2222.500,       6.28714             
38,    1,            150.0,        150.000,        6.55378             
39,    8,            22040.0,      2755.000,       6.6922              
40,    1,            370.0,        370.000,        6.52671             
41,    6,            21880.0,      3646.667,       6.31597             
42,    37,           127090.0,     3434.865,       6.65881             
43,    2,            4175.0,       2087.500,       6.71186             
44,    35,           133475.0,     3813.571,       6.58465             
45,    23,           137735.0,     5988.478,       6.57724             
46,    21,           129830.0,     6182.381,       6.52585             
47,    26,           139225.0,     5354.808,       6.38118             
48,    11,           74815.0,      6801.364,       6.30635             
49,    3,            2160.0,       720.000,        6.29294             
50,    24,           162980.0,     6790.833,       6.19154             
51,    7,            44380.0,      6340.000,       5.98659             
52,    34,           103460.0,     3042.941,       6.42458             
