Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           325.0,        10.833,         33.344,         1.64998             
2,     30,           450.0,        15.000,         30.000,         4.81291             
3,     30,           10845.0,      361.500,        915.963,        37.0923             
4,     30,           4550.0,       151.667,        8.975,          78.5898             
5,     30,           1175.0,       39.167,         40.147,         103.594             
6,     30,           4800.0,       160.000,        52.281,         124.762             
7,     30,           6900.0,       230.000,        57.518,         147.163             
8,     30,           4290.0,       143.000,        328.501,        145.372             
9,     30,           1550.0,       51.667,         58.784,         159.735             
10,    30,           1250.0,       41.667,         56.765,         126.565             
11,    30,           375.0,        12.500,         27.951,         90.5999             
12,    30,           24270.0,      809.000,        1003.302,       70.3165             
13,    30,           4500.0,       150.000,        0.000,          63.936              
14,    30,           2135.0,       71.167,         232.811,        60.2588             
15,    30,           0.0,          0.000,          0.000,          45.9761             
16,    30,           2325.0,       77.500,         13.463,         37.7189             
17,    30,           4425.0,       147.500,        13.463,         37.3234             
18,    30,           150.0,        5.000,          18.708,         38.1921             
19,    30,           9400.0,       313.333,        559.709,        42.5901             
20,    30,           3450.0,       115.000,        37.417,         38.8557             
21,    30,           4500.0,       150.000,        0.000,          31.7357             
22,    30,           2475.0,       82.500,         22.500,         23.6129             
23,    30,           3950.0,       131.667,        35.316,         21.4915             
24,    30,           89130.0,      2971.000,       22.708,         18.9037             
25,    30,           8155.0,       271.833,        228.617,        18.4715             
26,    30,           3675.0,       122.500,        70.814,         23.2633             
27,    30,           14270.0,      475.667,        602.953,        24.3543             
28,    30,           73470.0,      2449.000,       1032.333,       23.675              
29,    30,           81575.0,      2719.167,       85.762,         20.047              
30,    30,           88890.0,      2963.000,       38.893,         15.6188             
31,    30,           63890.0,      2129.667,       908.939,        11.3063             
32,    30,           90085.0,      3002.833,       30.814,         9.03635             
33,    30,           89200.0,      2973.333,       117.561,        7.22886             
34,    30,           89120.0,      2970.667,       48.934,         5.24591             
35,    30,           90410.0,      3013.667,       50.414,         4.71185             
36,    30,           88940.0,      2964.667,       86.477,         4.62686             
37,    30,           87860.0,      2928.667,       84.370,         4.25642             
38,    30,           91845.0,      3061.500,       37.398,         3.94261             
39,    30,           93125.0,      3104.167,       35.475,         3.7644              
40,    30,           92345.0,      3078.167,       48.537,         3.37741             
41,    30,           93225.0,      3107.500,       38.617,         3.4005              
42,    30,           94705.0,      3156.833,       747.771,        3.46913             
43,    30,           0.0,          0.000,          0.000,          3.24776             
44,    30,           115075.0,     3835.833,       1599.345,       3.0702              
45,    30,           29230.0,      974.333,        1287.294,       3.13034             
46,    30,           32665.0,      1088.833,       1063.058,       3.00539             
47,    30,           93635.0,      3121.167,       141.125,        3.05675             
48,    30,           111265.0,     3708.833,       1449.785,       2.96069             
49,    30,           180290.0,     6009.667,       1826.688,       3.14191             
50,    30,           196850.0,     6561.667,       2551.685,       3.0903              
51,    30,           138760.0,     4625.333,       1465.027,       3.45448             
52,    30,           140265.0,     4675.500,       1840.247,       3.55741             
53,    30,           171165.0,     5705.500,       2162.020,       4.20117             
54,    30,           96655.0,      3221.833,       1840.982,       4.8448              
55,    30,           139435.0,     4647.833,       1666.109,       5.55631             
56,    30,           86210.0,      2873.667,       59.089,         9.54732             
57,    30,           93735.0,      3124.500,       90.759,         14.7169             
58,    30,           92050.0,      3068.333,       79.050,         22.3109             
59,    30,           95740.0,      3191.333,       109.711,        29.7756             
60,    30,           191925.0,     6397.500,       1121.881,       32.5478             
61,    30,           119055.0,     3968.500,       1069.389,       30.8264             
62,    30,           82730.0,      2757.667,       882.316,        24.9641             
63,    30,           88320.0,      2944.000,       147.983,        20.1774             
64,    30,           91025.0,      3034.167,       118.582,        14.7409             
65,    30,           96520.0,      3217.333,       87.747,         11.2251             
66,    30,           98860.0,      3295.333,       102.501,        11.0808             
67,    30,           67950.0,      2265.000,       242.298,        9.3769              
68,    30,           101130.0,     3371.000,       166.940,        8.81288             
69,    30,           79240.0,      2641.333,       149.181,        8.88577             
70,    30,           93440.0,      3114.667,       94.674,         8.00263             
71,    30,           89735.0,      2991.167,       35.442,         7.70122             
72,    30,           126290.0,     4209.667,       1654.867,       6.70802             
73,    30,           98730.0,      3291.000,       182.357,        6.27095             
74,    30,           175850.0,     5861.667,       1840.549,       6.14383             
75,    30,           168280.0,     5609.333,       1806.586,       6.39181             
76,    30,           142060.0,     4735.333,       1987.641,       6.82533             
77,    30,           179155.0,     5971.833,       370.496,        7.40617             
78,    30,           143390.0,     4779.667,       1528.552,       7.4489              
79,    30,           257030.0,     8567.667,       3165.751,       7.72862             
80,    30,           212410.0,     7080.333,       3146.176,       7.86468             
81,    30,           226235.0,     7541.167,       731.159,        9.72674             
82,    30,           90015.0,      3000.500,       2376.427,       10.7235             
83,    30,           119705.0,     3990.167,       2130.526,       13.0991             
84,    30,           215730.0,     7191.000,       245.542,        15.2237             
85,    30,           143240.0,     4774.667,       1469.654,       15.1028             
86,    30,           165575.0,     5519.167,       2318.578,       14.7035             
87,    30,           143055.0,     4768.500,       1311.100,       13.2945             
88,    30,           97525.0,      3250.833,       665.301,        12.1942             
89,    30,           99305.0,      3310.167,       333.183,        12.8083             
90,    30,           40425.0,      1347.500,       731.690,        12.63               
91,    30,           23865.0,      795.500,        874.033,        11.6547             
92,    30,           14385.0,      479.500,        676.377,        10.0061             
93,    30,           79145.0,      2638.167,       2372.875,       7.95014             
94,    30,           104315.0,     3477.167,       1622.567,       6.27356             
95,    30,           57980.0,      1932.667,       604.581,        6.15638             
96,    30,           112890.0,     3763.000,       1398.925,       7.86878             
97,    30,           34455.0,      1148.500,       1427.275,       6.95023             
98,    30,           68605.0,      2286.833,       850.235,        6.68776             
