Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.641194            
2,     30,           75.0,         2.500,          13.463,         0.854152            
3,     30,           75.0,         2.500,          13.463,         0.783733            
4,     30,           0.0,          0.000,          0.000,          0.926689            
5,     30,           0.0,          0.000,          0.000,          0.990728            
6,     30,           2250.0,       75.000,         0.000,          1.03964             
7,     30,           2175.0,       72.500,         13.463,         1.04391             
8,     30,           2550.0,       85.000,         25.495,         1.11705             
9,     30,           5050.0,       168.333,        46.518,         1.10806             
10,    30,           3700.0,       123.333,        45.613,         1.46971             
11,    30,           2900.0,       96.667,         47.317,         1.8403              
12,    30,           3200.0,       106.667,        42.785,         2.03145             
13,    30,           2150.0,       71.667,         64.786,         2.05678             
14,    30,           3500.0,       116.667,        39.965,         2.02356             
15,    30,           150.0,        5.000,          18.708,         2.03049             
16,    30,           2050.0,       68.333,         58.071,         2.04237             
17,    30,           4650.0,       155.000,        47.170,         1.99714             
18,    30,           3350.0,       111.667,        22.111,         1.81434             
19,    30,           2275.0,       75.833,         31.281,         1.75489             
20,    30,           1350.0,       45.000,         36.742,         1.79958             
21,    30,           525.0,        17.500,         31.721,         1.7274              
22,    30,           3725.0,       124.167,        18.801,         1.73078             
23,    30,           3675.0,       122.500,        37.832,         1.63011             
24,    30,           3575.0,       119.167,        53.105,         1.48263             
25,    30,           4050.0,       135.000,        41.130,         1.59427             
26,    30,           4025.0,       134.167,        28.492,         1.57472             
27,    30,           5575.0,       185.833,        72.366,         1.48444             
28,    30,           3575.0,       119.167,        23.878,         1.4365              
29,    30,           4450.0,       148.333,        40.277,         1.42366             
30,    30,           3875.0,       129.167,        71.322,         1.46986             
31,    30,           3800.0,       126.667,        20.344,         1.30939             
32,    30,           4925.0,       164.167,        55.032,         1.21903             
33,    30,           3900.0,       130.000,        18.708,         1.18766             
34,    30,           4100.0,       136.667,        60.116,         1.22502             
35,    30,           3950.0,       131.667,        50.799,         1.13409             
36,    30,           3700.0,       123.333,        8.975,          1.13226             
37,    30,           4525.0,       150.833,        41.071,         1.11878             
38,    30,           3975.0,       132.500,        28.247,         1.07077             
39,    30,           3900.0,       130.000,        27.689,         1.06771             
40,    30,           3900.0,       130.000,        18.708,         1.1052              
41,    30,           7900.0,       263.333,        89.613,         1.09281             
42,    30,           8075.0,       269.167,        87.722,         1.12786             
43,    30,           4700.0,       156.667,        70.985,         1.03595             
44,    30,           4725.0,       157.500,        67.129,         1.05607             
45,    30,           4250.0,       141.667,        39.965,         1.04083             
46,    30,           4275.0,       142.500,        51.700,         0.986634            
47,    30,           4000.0,       133.333,        34.359,         0.987879            
48,    30,           5425.0,       180.833,        89.602,         0.997407            
49,    30,           6625.0,       220.833,        76.942,         1.01373             
50,    30,           8800.0,       293.333,        113.088,        1.03132             
51,    30,           5950.0,       198.333,        85.862,         1.04056             
52,    30,           7900.0,       263.333,        90.077,         1.01395             
53,    30,           3950.0,       131.667,        29.533,         1.06121             
54,    30,           4850.0,       161.667,        53.125,         1.07276             
55,    30,           6150.0,       205.000,        46.726,         1.14748             
56,    30,           4500.0,       150.000,        74.162,         1.20184             
57,    30,           5075.0,       169.167,        61.807,         1.33763             
58,    30,           3625.0,       120.833,        15.921,         1.36633             
59,    30,           5550.0,       185.000,        84.558,         1.24553             
60,    30,           6225.0,       207.500,        53.677,         1.28379             
61,    30,           4850.0,       161.667,        53.125,         1.39703             
62,    30,           9100.0,       303.333,        116.500,        1.21569             
63,    30,           10575.0,      352.500,        136.527,        1.29903             
64,    30,           4700.0,       156.667,        62.893,         1.30243             
65,    30,           5500.0,       183.333,        42.492,         1.37651             
66,    30,           5375.0,       179.167,        61.942,         1.41287             
67,    30,           4750.0,       158.333,        47.140,         1.45115             
68,    30,           5400.0,       180.000,        59.301,         1.54226             
69,    30,           4775.0,       159.167,        48.940,         1.52199             
70,    30,           6000.0,       200.000,        62.915,         1.55853             
71,    30,           4100.0,       136.667,        52.731,         1.70844             
72,    30,           6125.0,       204.167,        46.135,         1.69616             
73,    30,           6350.0,       211.667,        62.160,         1.71211             
74,    30,           4425.0,       147.500,        39.974,         1.62738             
75,    30,           5175.0,       172.500,        64.663,         1.62288             
76,    30,           5350.0,       178.333,        56.544,         1.60009             
77,    30,           4150.0,       138.333,        86.056,         1.61652             
78,    30,           975.0,        32.500,         57.064,         1.75751             
79,    30,           5575.0,       185.833,        48.168,         1.75247             
80,    30,           2850.0,       95.000,         61.033,         1.64234             
81,    30,           6425.0,       214.167,        112.488,        1.55289             
82,    30,           3750.0,       125.000,        0.000,          1.59809             
83,    30,           7350.0,       245.000,        130.608,        1.68291             
84,    30,           6775.0,       225.833,        122.387,        1.75681             
85,    30,           5425.0,       180.833,        35.756,         1.68169             
86,    30,           12750.0,      425.000,        153.025,        1.619               
87,    30,           10100.0,      336.667,        92.361,         1.59618             
88,    30,           5975.0,       199.167,        16.436,         1.57972             
89,    30,           7775.0,       259.167,        111.893,        1.37717             
90,    30,           10150.0,      338.333,        127.432,        1.45176             
91,    30,           7550.0,       251.667,        95.728,         1.40404             
92,    30,           6125.0,       204.167,        63.928,         1.39943             
93,    30,           4475.0,       149.167,        45.407,         1.42723             
94,    30,           7600.0,       253.333,        62.160,         1.33043             
95,    30,           8375.0,       279.167,        114.215,        1.10974             
96,    30,           6400.0,       213.333,        33.375,         1.1655              
97,    30,           5225.0,       174.167,        39.520,         1.08488             
98,    30,           6750.0,       225.000,        70.711,         1.12839             
99,    30,           6525.0,       217.500,        68.053,         1.0693              
100,   30,           7275.0,       242.500,        41.908,         1.01519             
101,   30,           6000.0,       200.000,        25.000,         0.968257            
102,   30,           6300.0,       210.000,        20.000,         0.977512            
103,   30,           8025.0,       267.500,        98.139,         0.949566            
104,   30,           7300.0,       243.333,        55.877,         0.885106            
105,   30,           13150.0,      438.333,        153.804,        0.839654            
106,   30,           6150.0,       205.000,        23.629,         0.87014             
107,   30,           6300.0,       210.000,        20.000,         0.847386            
108,   30,           6225.0,       207.500,        36.027,         0.834165            
109,   30,           6450.0,       215.000,        65.701,         0.888925            
110,   30,           11075.0,      369.167,        143.423,        0.868068            
111,   30,           9975.0,       332.500,        136.191,        0.858269            
112,   30,           6575.0,       219.167,        39.096,         0.871721            
113,   30,           6975.0,       232.500,        43.373,         0.831557            
114,   30,           5775.0,       192.500,        25.941,         0.833916            
115,   30,           6725.0,       224.167,        39.520,         0.844331            
116,   30,           6325.0,       210.833,        27.144,         0.851818            
117,   30,           5475.0,       182.500,        31.721,         0.837931            
118,   30,           7150.0,       238.333,        94.810,         0.870076            
119,   30,           7950.0,       265.000,        98.446,         0.865308            
120,   30,           6050.0,       201.667,        20.344,         0.840791            
121,   30,           7300.0,       243.333,        16.997,         0.842346            
122,   30,           7400.0,       246.667,        12.472,         0.853765            
123,   30,           7125.0,       237.500,        30.788,         0.846292            
124,   30,           7350.0,       245.000,        15.000,         0.808514            
125,   30,           8000.0,       266.667,        62.361,         0.825318            
126,   30,           7325.0,       244.167,        23.878,         0.861805            
127,   30,           7200.0,       240.000,        32.016,         0.941688            
128,   30,           8375.0,       279.167,        100.017,        0.963723            
129,   30,           7150.0,       238.333,        32.745,         0.998581            
130,   30,           7350.0,       245.000,        15.000,         1.07486             
131,   30,           10800.0,      360.000,        112.287,        1.02794             
132,   30,           12175.0,      405.833,        122.930,        1.00632             
