Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.903959            
2,     30,           3600.0,       120.000,        36.742,         1.3974              
3,     30,           1500.0,       50.000,         67.082,         1.85683             
4,     30,           275.0,        9.167,          34.450,         2.22248             
5,     30,           75.0,         2.500,          13.463,         4.14135             
6,     30,           975.0,        32.500,         37.165,         6.45959             
7,     30,           275.0,        9.167,          28.492,         11.2567             
8,     30,           0.0,          0.000,          0.000,          22.1064             
9,     30,           1950.0,       65.000,         60.415,         35.4702             
10,    30,           750.0,        25.000,         40.311,         53.9838             
11,    30,           3825.0,       127.500,        34.369,         74.2962             
12,    30,           1575.0,       52.500,         34.369,         96.2595             
13,    30,           1625.0,       54.167,         41.374,         89.8716             
14,    30,           1275.0,       42.500,         41.908,         100.329             
15,    30,           2250.0,       75.000,         27.386,         142.375             
16,    30,           2400.0,       80.000,         33.166,         148.84              
17,    30,           3900.0,       130.000,        33.166,         182.363             
18,    30,           2500.0,       83.333,         21.731,         187.301             
19,    30,           2850.0,       95.000,         44.441,         178.337             
20,    30,           1275.0,       42.500,         37.165,         153.852             
21,    30,           300.0,        10.000,         25.495,         100.213             
22,    30,           0.0,          0.000,          0.000,          62.4202             
23,    30,           0.0,          0.000,          0.000,          33.6792             
24,    30,           875.0,        29.167,         46.585,         15.1959             
25,    30,           1500.0,       50.000,         35.355,         17.5483             
26,    30,           2400.0,       80.000,         18.708,         22.2554             
27,    30,           2800.0,       93.333,         24.095,         30.7294             
28,    30,           2900.0,       96.667,         35.198,         38.4391             
29,    30,           2250.0,       75.000,         0.000,          42.2612             
30,    30,           2250.0,       75.000,         0.000,          47.4482             
31,    30,           300.0,        10.000,         25.495,         51.8927             
32,    30,           2075.0,       69.167,         36.903,         55.5908             
33,    30,           525.0,        17.500,         31.721,         57.1269             
34,    30,           2400.0,       80.000,         18.708,         56.6142             
35,    30,           3975.0,       132.500,        31.721,         59.8331             
36,    30,           0.0,          0.000,          0.000,          59.9283             
37,    30,           150.0,        5.000,          18.708,         52.8701             
38,    30,           2425.0,       80.833,         17.892,         49.589              
39,    30,           2750.0,       91.667,         28.382,         44.3604             
40,    30,           525.0,        17.500,         31.721,         40.3986             
41,    30,           0.0,          0.000,          0.000,          35.0654             
42,    30,           0.0,          0.000,          0.000,          30.5113             
43,    30,           225.0,        7.500,          22.500,         27.7909             
44,    30,           3025.0,       100.833,        48.081,         31.3403             
45,    30,           5100.0,       170.000,        47.170,         62.2149             
46,    30,           2250.0,       75.000,         0.000,          127.114             
47,    30,           7350.0,       245.000,        47.170,         179.295             
48,    30,           0.0,          0.000,          0.000,          208.984             
49,    30,           1050.0,       35.000,         46.368,         216.262             
50,    30,           300.0,        10.000,         32.016,         203.918             
51,    30,           675.0,        22.500,         34.369,         189.321             
52,    30,           0.0,          0.000,          0.000,          169.406             
53,    30,           75.0,         2.500,          13.463,         149.565             
54,    30,           750.0,        25.000,         35.355,         132.465             
55,    30,           75.0,         2.500,          13.463,         117.182             
56,    30,           2325.0,       77.500,         13.463,         125.907             
57,    30,           2250.0,       75.000,         0.000,          129.426             
58,    30,           300.0,        10.000,         25.495,         117.428             
59,    30,           0.0,          0.000,          0.000,          104.294             
60,    30,           75.0,         2.500,          13.463,         92.0877             
61,    30,           0.0,          0.000,          0.000,          78.4562             
62,    30,           275.0,        9.167,          28.492,         71.7822             
63,    30,           3750.0,       125.000,        27.386,         71.4482             
64,    30,           1575.0,       52.500,         34.369,         69.8877             
65,    30,           0.0,          0.000,          0.000,          65.9566             
66,    30,           0.0,          0.000,          0.000,          59.8381             
67,    30,           825.0,        27.500,         36.142,         52.9618             
68,    30,           675.0,        22.500,         43.946,         46.5181             
69,    30,           1350.0,       45.000,         36.742,         41.8109             
70,    30,           75.0,         2.500,          13.463,         36.8629             
71,    30,           900.0,        30.000,         36.742,         34.1057             
72,    30,           600.0,        20.000,         33.166,         30.4042             
73,    30,           300.0,        10.000,         25.495,         26.7024             
74,    30,           1600.0,       53.333,         39.651,         23.9282             
75,    30,           850.0,        28.333,         48.620,         22.3235             
76,    30,           2250.0,       75.000,         0.000,          21.2913             
77,    30,           2175.0,       72.500,         13.463,         21.5042             
78,    30,           2300.0,       76.667,         8.975,          20.62               
79,    30,           2250.0,       75.000,         0.000,          19.2559             
80,    30,           0.0,          0.000,          0.000,          17.902              
81,    30,           2175.0,       72.500,         13.463,         17.0513             
82,    30,           2250.0,       75.000,         0.000,          20.6975             
83,    30,           2250.0,       75.000,         0.000,          25.048              
84,    30,           2250.0,       75.000,         0.000,          33.6042             
85,    30,           1050.0,       35.000,         37.417,         40.4563             
86,    30,           75.0,         2.500,          13.463,         40.8363             
87,    30,           1275.0,       42.500,         37.165,         38.4843             
88,    30,           150.0,        5.000,          18.708,         32.6901             
89,    30,           0.0,          0.000,          0.000,          27.4466             
90,    30,           450.0,        15.000,         30.000,         23.408              
91,    30,           0.0,          0.000,          0.000,          19.5638             
92,    30,           2325.0,       77.500,         28.395,         16.6509             
93,    30,           225.0,        7.500,          22.500,         13.7763             
94,    30,           1350.0,       45.000,         56.789,         11.7831             
95,    30,           375.0,        12.500,         27.951,         10.9188             
96,    30,           2400.0,       80.000,         15.000,         9.40012             
97,    30,           2425.0,       80.833,         17.892,         9.56929             
98,    30,           2250.0,       75.000,         0.000,          9.56711             
99,    30,           2400.0,       80.000,         18.708,         9.10412             
100,   30,           2100.0,       70.000,         18.708,         8.2667              
