Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.436509            
2,     30,           0.0,          0.000,          0.000,          0.602727            
3,     30,           150.0,        5.000,          18.708,         1.12958             
4,     30,           600.0,        20.000,         33.166,         2.52409             
5,     30,           150.0,        5.000,          18.708,         5.21679             
6,     30,           0.0,          0.000,          0.000,          7.37835             
7,     30,           450.0,        15.000,         35.707,         9.2868              
8,     30,           525.0,        17.500,         31.721,         9.70042             
9,     30,           75.0,         2.500,          13.463,         16.6771             
10,    30,           375.0,        12.500,         27.951,         27.9263             
11,    30,           1425.0,       47.500,         41.003,         48.72               
12,    30,           0.0,          0.000,          0.000,          54.0806             
13,    30,           750.0,        25.000,         35.355,         56.39               
14,    30,           3900.0,       130.000,        33.166,         72.78               
15,    30,           375.0,        12.500,         27.951,         73.6695             
16,    30,           2100.0,       70.000,         18.708,         92.0885             
17,    30,           2625.0,       87.500,         27.951,         119.885             
18,    30,           2400.0,       80.000,         18.708,         128.626             
19,    30,           1875.0,       62.500,         51.539,         125.913             
20,    30,           2700.0,       90.000,         30.000,         112.23              
21,    30,           2250.0,       75.000,         0.000,          99.2964             
22,    30,           1950.0,       65.000,         25.495,         84.6                
23,    30,           2250.0,       75.000,         0.000,          73.7734             
24,    30,           2250.0,       75.000,         0.000,          71.831              
25,    30,           2250.0,       75.000,         0.000,          65.0225             
26,    30,           900.0,        30.000,         36.742,         57.1842             
27,    30,           225.0,        7.500,          22.500,         49.5228             
28,    30,           0.0,          0.000,          0.000,          42.6319             
29,    30,           1125.0,       37.500,         53.910,         38.693              
30,    30,           1575.0,       52.500,         34.369,         32.822              
31,    30,           1725.0,       57.500,         31.721,         28.507              
32,    30,           225.0,        7.500,          22.500,         23.5134             
33,    30,           2225.0,       74.167,         31.940,         18.6593             
34,    30,           150.0,        5.000,          18.708,         15.0872             
35,    30,           1950.0,       65.000,         25.495,         13.228              
36,    30,           1875.0,       62.500,         27.951,         10.9531             
37,    30,           600.0,        20.000,         33.166,         9.48491             
38,    30,           750.0,        25.000,         35.355,         8.765               
39,    30,           675.0,        22.500,         34.369,         7.83308             
40,    30,           0.0,          0.000,          0.000,          7.26001             
41,    30,           2175.0,       72.500,         52.974,         6.39735             
42,    30,           2025.0,       67.500,         52.500,         5.61728             
43,    30,           1950.0,       65.000,         32.016,         4.88662             
44,    30,           1800.0,       60.000,         30.000,         4.76311             
45,    30,           675.0,        22.500,         39.449,         4.37039             
46,    30,           2250.0,       75.000,         27.386,         4.0795              
47,    30,           975.0,        32.500,         37.165,         3.73387             
48,    30,           2250.0,       75.000,         0.000,          4.03776             
49,    30,           3375.0,       112.500,        42.205,         5.18945             
50,    30,           1125.0,       37.500,         37.500,         6.68734             
51,    30,           0.0,          0.000,          0.000,          7.64045             
52,    30,           1275.0,       42.500,         41.908,         8.41979             
53,    30,           2250.0,       75.000,         19.365,         8.64141             
54,    30,           1575.0,       52.500,         39.449,         8.85509             
55,    30,           0.0,          0.000,          0.000,          8.04027             
56,    30,           525.0,        17.500,         31.721,         6.97193             
57,    30,           1950.0,       65.000,         37.417,         5.97179             
58,    30,           1650.0,       55.000,         38.406,         5.14706             
59,    30,           1800.0,       60.000,         30.000,         4.45155             
60,    30,           1475.0,       49.167,         47.207,         3.57213             
61,    30,           1125.0,       37.500,         42.205,         3.52356             
