Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.745756            
2,     30,           1050.0,       35.000,         37.417,         1.37525             
3,     30,           1350.0,       45.000,         36.742,         1.58225             
4,     30,           0.0,          0.000,          0.000,          2.59835             
5,     30,           0.0,          0.000,          0.000,          5.17094             
6,     30,           0.0,          0.000,          0.000,          6.85447             
7,     30,           0.0,          0.000,          0.000,          7.40435             
8,     30,           0.0,          0.000,          0.000,          8.22675             
9,     30,           0.0,          0.000,          0.000,          11.2832             
10,    30,           1800.0,       60.000,         30.000,         14.252              
11,    30,           0.0,          0.000,          0.000,          20.7933             
12,    30,           1350.0,       45.000,         45.826,         28.1892             
13,    30,           2150.0,       71.667,         21.148,         33.2055             
14,    30,           2925.0,       97.500,         34.369,         35.2252             
15,    30,           2250.0,       75.000,         0.000,          34.4976             
16,    30,           2475.0,       82.500,         22.500,         32.4133             
17,    30,           2250.0,       75.000,         0.000,          29.9777             
18,    30,           2550.0,       85.000,         25.495,         26.2303             
19,    30,           2250.0,       75.000,         0.000,          22.7652             
20,    30,           3750.0,       125.000,        55.902,         20.1356             
21,    30,           3225.0,       107.500,        41.908,         17.4645             
22,    30,           7275.0,       242.500,        41.908,         15.953              
23,    30,           750.0,        25.000,         40.311,         13.8627             
24,    30,           1650.0,       55.000,         33.166,         12.0608             
25,    30,           150.0,        5.000,          18.708,         10.6927             
26,    30,           5925.0,       197.500,        65.622,         9.33632             
27,    30,           2625.0,       87.500,         27.951,         8.45333             
28,    30,           0.0,          0.000,          0.000,          7.93187             
29,    30,           4725.0,       157.500,        40.389,         7.29275             
30,    30,           5175.0,       172.500,        61.695,         6.60901             
31,    30,           2625.0,       87.500,         27.951,         6.12169             
32,    30,           2700.0,       90.000,         30.000,         5.30415             
33,    30,           2625.0,       87.500,         27.951,         5.05733             
34,    30,           2250.0,       75.000,         0.000,          5.05247             
35,    30,           2250.0,       75.000,         0.000,          5.20768             
36,    30,           1500.0,       50.000,         35.355,         5.68007             
37,    30,           2250.0,       75.000,         0.000,          6.26184             
38,    30,           2175.0,       72.500,         13.463,         6.05712             
39,    30,           2250.0,       75.000,         0.000,          5.48354             
40,    30,           2250.0,       75.000,         0.000,          5.46936             
41,    30,           2250.0,       75.000,         0.000,          5.27741             
42,    30,           3375.0,       112.500,        74.372,         5.17782             
43,    30,           2250.0,       75.000,         0.000,          5.53284             
44,    30,           2475.0,       82.500,         22.500,         6.52985             
45,    30,           2175.0,       72.500,         13.463,         7.29059             
46,    30,           2400.0,       80.000,         18.708,         7.74918             
47,    30,           2250.0,       75.000,         0.000,          8.75436             
48,    30,           2250.0,       75.000,         0.000,          12.6911             
49,    30,           2250.0,       75.000,         0.000,          13.8655             
50,    30,           150.0,        5.000,          18.708,         12.4123             
51,    30,           2925.0,       97.500,         34.369,         12.004              
52,    30,           2250.0,       75.000,         0.000,          10.9332             
53,    30,           75.0,         2.500,          13.463,         10.0731             
54,    30,           0.0,          0.000,          0.000,          9.0707              
55,    30,           450.0,        15.000,         30.000,         10.354              
56,    30,           750.0,        25.000,         35.355,         13.7878             
57,    30,           0.0,          0.000,          0.000,          13.3848             
58,    30,           225.0,        7.500,          22.500,         11.6629             
59,    30,           75.0,         2.500,          13.463,         10.2853             
60,    30,           525.0,        17.500,         31.721,         9.24523             
61,    30,           2250.0,       75.000,         0.000,          8.12254             
62,    30,           1050.0,       35.000,         37.417,         9.57674             
63,    30,           1200.0,       40.000,         37.417,         9.0755              
64,    30,           1275.0,       42.500,         37.165,         8.36151             
65,    30,           1650.0,       55.000,         33.166,         8.29845             
66,    30,           2250.0,       75.000,         0.000,          8.56608             
67,    30,           1350.0,       45.000,         36.742,         8.56845             
68,    30,           825.0,        27.500,         36.142,         8.19085             
69,    30,           0.0,          0.000,          0.000,          9.65013             
70,    30,           1350.0,       45.000,         36.742,         10.8179             
71,    30,           1050.0,       35.000,         37.417,         10.2126             
72,    30,           2100.0,       70.000,         18.708,         9.1049              
73,    30,           1875.0,       62.500,         27.951,         8.45991             
74,    30,           2250.0,       75.000,         0.000,          7.57526             
75,    30,           2250.0,       75.000,         0.000,          6.8973              
76,    30,           2100.0,       70.000,         18.708,         6.18548             
77,    30,           1875.0,       62.500,         27.951,         5.33475             
78,    30,           1575.0,       52.500,         34.369,         4.70965             
79,    30,           1725.0,       57.500,         31.721,         4.4582              
80,    30,           2250.0,       75.000,         0.000,          4.42663             
81,    30,           2250.0,       75.000,         0.000,          4.44265             
82,    30,           2025.0,       67.500,         22.500,         4.26889             
83,    30,           1200.0,       40.000,         37.417,         4.24244             
84,    30,           2250.0,       75.000,         19.365,         4.3748              
85,    30,           2100.0,       70.000,         18.708,         4.99104             
86,    30,           1125.0,       37.500,         37.500,         4.90766             
87,    30,           3150.0,       105.000,        36.742,         5.27983             
88,    30,           675.0,        22.500,         34.369,         6.04182             
89,    30,           2250.0,       75.000,         0.000,          5.92301             
90,    30,           2250.0,       75.000,         0.000,          7.10397             
91,    30,           2250.0,       75.000,         0.000,          8.24153             
