Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     220,          2850.0,       12.955,         0.857016            
2,     395,          29475.0,      74.620,         1.03254             
3,     134,          10800.0,      80.597,         1.20266             
4,     125,          10875.0,      87.000,         1.55745             
5,     74,           10350.0,      139.865,        1.88675             
6,     57,           7950.0,       139.474,        2.007               
7,     28,           6825.0,       243.750,        1.98183             
8,     32,           7125.0,       222.656,        1.83725             
9,     26,           7050.0,       271.154,        1.61166             
10,    43,           10675.0,      248.256,        1.3812              
11,    51,           8775.0,       172.059,        1.19119             
12,    42,           13525.0,      322.024,        1.04199             
13,    43,           17875.0,      415.698,        0.944882            
14,    27,           18900.0,      700.000,        0.944198            
15,    39,           18600.0,      476.923,        1.00397             
16,    35,           20000.0,      571.429,        1.05812             
17,    37,           19350.0,      522.973,        1.08171             
18,    46,           19550.0,      425.000,        0.994803            
19,    28,           18750.0,      669.643,        0.956297            
20,    42,           18600.0,      442.857,        0.877296            
21,    110,          29300.0,      266.364,        0.816145            
22,    35,           18750.0,      535.714,        0.756671            
23,    162,          33300.0,      205.556,        0.694136            
24,    266,          65700.0,      246.992,        0.656623            
25,    261,          66350.0,      254.215,        0.699223            
26,    309,          75500.0,      244.337,        0.855782            
27,    61,           22500.0,      368.852,        0.982848            
28,    219,          55850.0,      255.023,        1.03197             
29,    235,          62000.0,      263.830,        0.988981            
30,    220,          56150.0,      255.227,        0.938298            
31,    63,           30025.0,      476.587,        0.889334            
32,    377,          104200.0,     276.393,        0.909575            
33,    292,          84100.0,      288.014,        0.929675            
34,    307,          87800.0,      285.993,        0.979379            
35,    327,          96300.0,      294.495,        1.03127             
36,    303,          88800.0,      293.069,        1.12292             
37,    321,          95300.0,      296.885,        1.18567             
38,    302,          89400.0,      296.026,        1.1797              
39,    313,          93050.0,      297.284,        1.20092             
40,    253,          77400.0,      305.929,        1.19348             
41,    284,          84500.0,      297.535,        1.20797             
42,    305,          90550.0,      296.885,        1.2833              
43,    283,          83950.0,      296.643,        1.22171             
44,    299,          89150.0,      298.161,        1.20004             
45,    301,          89200.0,      296.346,        1.15638             
46,    290,          86150.0,      297.069,        1.21902             
47,    301,          89700.0,      298.007,        1.17681             
48,    275,          81600.0,      296.727,        1.09215             
49,    300,          89000.0,      296.667,        1.10562             
50,    205,          60800.0,      296.585,        1.10197             
51,    224,          66000.0,      294.643,        1.14028             
52,    342,          101650.0,     297.222,        1.08786             
53,    266,          79000.0,      296.992,        1.12025             
54,    263,          77650.0,      295.247,        1.08736             
55,    178,          53100.0,      298.315,        1.05021             
56,    224,          66350.0,      296.205,        1.01887             
57,    186,          56750.0,      305.108,        1.06016             
58,    256,          76050.0,      297.070,        0.98596             
59,    261,          77025.0,      295.115,        0.999466            
60,    149,          44600.0,      299.329,        0.943555            
61,    149,          44600.0,      299.329,        0.913051            
62,    161,          48075.0,      298.602,        0.904578            
