Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     645,          1009.0,       1.564,          0.465051            
2,     239,          604.0,        2.527,          0.621418            
3,     490,          1585.0,       3.235,          0.593144            
4,     326,          2241.0,       6.874,          0.844585            
5,     240,          2615.0,       10.896,         1.12087             
6,     209,          2999.0,       14.349,         1.36999             
7,     209,          3023.0,       14.464,         1.53631             
8,     193,          3354.0,       17.378,         1.97315             
9,     171,          3527.0,       20.626,         2.38312             
10,    239,          2970.0,       12.427,         2.5511              
11,    142,          4337.0,       30.542,         2.45618             
12,    116,          5271.0,       45.440,         2.7096              
13,    109,          5507.0,       50.523,         2.76048             
14,    113,          5512.0,       48.779,         2.74046             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    120,          4522.0,       37.683,         3.0911              
17,    110,          5523.0,       50.209,         3.3232              
18,    102,          5518.0,       54.098,         3.60738             
19,    96,           6387.0,       66.531,         3.70941             
20,    104,          6302.0,       60.596,         3.84216             
21,    93,           6388.0,       68.688,         3.81861             
22,    94,           7386.0,       78.574,         3.91017             
23,    103,          6759.0,       65.621,         3.88416             
24,    98,           7003.0,       71.459,         3.96112             
25,    89,           9843.0,       110.596,        3.87425             
26,    87,           8657.0,       99.506,         4.12011             
27,    88,           8086.0,       91.886,         4.18915             
28,    93,           10623.0,      114.226,        4.37188             
29,    92,           8765.0,       95.272,         4.44143             
30,    92,           11084.0,      120.478,        4.56546             
31,    110,          6823.0,       62.027,         4.62071             
32,    86,           9234.0,       107.372,        4.84563             
33,    90,           9912.0,       110.133,        5.06659             
34,    97,           9604.0,       99.010,         5.22677             
35,    92,           10854.0,      117.978,        5.18616             
36,    82,           10825.0,      132.012,        5.25074             
37,    78,           11599.0,      148.705,        5.17302             
38,    79,           11713.0,      148.266,        5.43323             
39,    85,           13252.0,      155.906,        5.72137             
40,    134,          5792.0,       43.224,         5.91702             
41,    76,           14277.0,      187.855,        6.0966              
42,    115,          6304.0,       54.817,         6.49994             
43,    112,          5974.0,       53.339,         6.40321             
44,    89,           12812.0,      143.955,        6.4225              
45,    82,           12923.0,      157.598,        6.74362             
46,    87,           11976.0,      137.655,        7.04729             
47,    171,          4315.0,       25.234,         7.02073             
48,    95,           10800.0,      113.684,        6.65472             
49,    77,           14128.0,      183.481,        7.04723             
50,    80,           14670.0,      183.375,        7.10859             
51,    87,           10722.0,      123.241,        7.54527             
52,    100,          9043.0,       90.430,         7.03183             
53,    85,           14758.0,      173.624,        7.13701             
54,    88,           11478.0,      130.432,        6.89312             
55,    72,           15242.0,      211.694,        7.15472             
56,    160,          3742.0,       23.387,         7.23644             
57,    93,           9221.0,       99.151,         7.2609              
