Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     726,          936.0,        1.289,          0.368427            
2,     335,          403.0,        1.203,          0.517817            
3,     500,          1371.0,       2.742,          0.567757            
4,     489,          1564.0,       3.198,          0.798785            
5,     383,          1987.0,       5.188,          0.848545            
6,     249,          1895.0,       7.610,          1.00834             
7,     247,          2592.0,       10.494,         1.08697             
8,     231,          2861.0,       12.385,         1.25403             
9,     218,          3001.0,       13.766,         1.46987             
10,    197,          3218.0,       16.335,         1.61456             
11,    162,          2821.0,       17.414,         2.0051              
12,    144,          3365.0,       23.368,         2.33307             
13,    122,          4135.0,       33.893,         2.49054             
14,    121,          4989.0,       41.231,         2.6968              
15,    110,          5319.0,       48.355,         2.70449             
16,    128,          4430.0,       34.609,         2.84077             
17,    94,           6894.0,       73.340,         2.9476              
18,    96,           7191.0,       74.906,         3.03561             
19,    92,           7758.0,       84.326,         3.18382             
20,    88,           10142.0,      115.250,        3.27289             
21,    88,           10660.0,      121.136,        3.22987             
22,    96,           8306.0,       86.521,         3.43264             
23,    83,           12297.0,      148.157,        3.54621             
24,    85,           11859.0,      139.518,        3.6997              
25,    82,           12784.0,      155.902,        4.02661             
26,    85,           12381.0,      145.659,        4.13685             
27,    82,           11323.0,      138.085,        4.33876             
28,    86,           12870.0,      149.651,        4.36022             
29,    72,           17752.0,      246.556,        4.48508             
30,    81,           11743.0,      144.975,        4.6567              
31,    72,           16632.0,      231.000,        4.67181             
32,    69,           17406.0,      252.261,        4.89386             
33,    72,           16983.0,      235.875,        5.13973             
34,    91,           8844.0,       97.187,         5.39296             
35,    72,           17173.0,      238.514,        5.54565             
36,    80,           12887.0,      161.088,        5.8568              
37,    71,           16411.0,      231.141,        6.07306             
38,    79,           18879.0,      238.975,        6.67733             
39,    81,           14741.0,      181.988,        6.55481             
40,    72,           16273.0,      226.014,        6.40481             
41,    93,           12477.0,      134.161,        6.36675             
42,    129,          7371.0,       57.140,         6.68266             
43,    71,           15317.0,      215.732,        6.51025             
44,    76,           15885.0,      209.013,        6.46667             
45,    81,           14993.0,      185.099,        6.7844              
46,    72,           17127.0,      237.875,        6.95282             
47,    87,           13648.0,      156.874,        7.09087             
48,    71,           18454.0,      259.915,        6.97268             
49,    70,           17860.0,      255.143,        7.15064             
50,    72,           16681.0,      231.681,        7.11059             
51,    78,           15515.0,      198.910,        7.07604             
52,    70,           16542.0,      236.314,        6.92769             
53,    68,           15041.0,      221.191,        6.83735             
54,    72,           14577.0,      202.458,        6.93046             
55,    165,          5547.0,       33.618,         7.12457             
56,    85,           14382.0,      169.200,        7.08496             
57,    82,           16769.0,      204.500,        7.16654             
58,    80,           16935.0,      211.688,        7.15323             
59,    78,           15395.0,      197.372,        7.26885             
60,    112,          8700.0,       77.679,         7.04462             
61,    79,           17131.0,      216.848,        6.93192             
62,    67,           18959.0,      282.970,        7.34074             
63,    78,           15876.0,      203.538,        7.33202             
64,    81,           16616.0,      205.136,        7.17936             
65,    74,           18428.0,      249.027,        7.39089             
66,    88,           12882.0,      146.386,        7.66459             
67,    78,           16989.0,      217.808,        7.53413             
68,    77,           17499.0,      227.260,        7.64799             
69,    80,           16255.0,      203.188,        7.54976             
70,    80,           15610.0,      195.125,        7.66853             
71,    111,          14011.0,      126.225,        8.38175             
72,    81,           17755.0,      219.198,        8.26605             
