Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     397,          550.0,        1.385,          0.389578            
2,     626,          1224.0,       1.955,          0.402365            
3,     582,          1357.0,       2.332,          0.676006            
4,     275,          1822.0,       6.625,          0.948816            
5,     289,          2371.0,       8.204,          1.03847             
6,     260,          2844.0,       10.938,         1.18915             
7,     226,          3083.0,       13.642,         1.40528             
8,     186,          3626.0,       19.495,         1.37109             
9,     166,          4010.0,       24.157,         1.56611             
10,    165,          3991.0,       24.188,         1.93983             
11,    135,          4472.0,       33.126,         2.21073             
12,    138,          4441.0,       32.181,         2.45476             
13,    109,          5411.0,       49.642,         2.46992             
14,    133,          4633.0,       34.835,         2.64035             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    164,          4041.0,       24.640,         2.92043             
17,    160,          4886.0,       30.538,         3.25823             
18,    116,          4582.0,       39.500,         3.45021             
19,    113,          5114.0,       45.257,         3.71297             
20,    106,          5441.0,       51.330,         3.89621             
21,    98,           5276.0,       53.837,         3.77551             
22,    93,           5548.0,       59.656,         3.85333             
23,    92,           5099.0,       55.424,         4.06326             
24,    100,          5064.0,       50.640,         4.04072             
25,    92,           5999.0,       65.207,         4.16588             
26,    86,           6293.0,       73.174,         4.30654             
27,    94,           6299.0,       67.011,         4.46239             
28,    102,          5780.0,       56.667,         4.68523             
29,    91,           7500.0,       82.418,         5.01055             
30,    99,           5956.0,       60.162,         4.91679             
31,    97,           5898.0,       60.804,         4.76663             
32,    87,           8269.0,       95.046,         4.97874             
33,    87,           9019.0,       103.667,        5.16946             
34,    83,           10149.0,      122.277,        5.06219             
35,    85,           7768.0,       91.388,         5.16297             
36,    135,          4119.0,       30.511,         4.99323             
37,    86,           8581.0,       99.779,         5.03022             
38,    93,           8332.0,       89.591,         5.01797             
39,    116,          4241.0,       36.560,         5.57545             
40,    85,           10524.0,      123.812,        5.50176             
41,    87,           8334.0,       95.793,         5.81951             
42,    95,           8984.0,       94.568,         5.95715             
43,    91,           8589.0,       94.385,         6.06737             
44,    77,           10433.0,      135.494,        6.3034              
45,    109,          6971.0,       63.954,         6.56187             
46,    466,          1654.0,       3.549,          6.64424             
47,    88,           10853.0,      123.330,        6.92179             
48,    94,           7143.0,       75.989,         6.89245             
49,    91,           10496.0,      115.341,        6.89472             
50,    108,          6453.0,       59.750,         6.44875             
51,    118,          5426.0,       45.983,         6.56375             
52,    93,           7901.0,       84.957,         6.50846             
53,    88,           9974.0,       113.341,        6.58392             
54,    77,           12852.0,      166.909,        6.79869             
