Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     350,          479.0,        1.369,          0.379259            
2,     245,          555.0,        2.265,          0.304613            
3,     608,          1311.0,       2.156,          0.568516            
4,     520,          1608.0,       3.092,          0.622091            
5,     265,          2057.0,       7.762,          0.669941            
6,     301,          2796.0,       9.289,          0.935614            
7,     298,          2716.0,       9.114,          1.15706             
8,     200,          2973.0,       14.865,         1.25277             
9,     174,          3033.0,       17.431,         1.60077             
10,    178,          3445.0,       19.354,         1.71692             
11,    171,          4191.0,       24.509,         2.03378             
12,    152,          4669.0,       30.717,         2.15384             
13,    166,          3975.0,       23.946,         2.44453             
14,    122,          5024.0,       41.180,         2.47285             
15,    127,          5493.0,       43.252,         2.72378             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
16,    136,          4181.0,       30.743,         3.08676             
17,    138,          3919.0,       28.399,         3.41361             
18,    141,          4303.0,       30.518,         3.66437             
19,    105,          5634.0,       53.657,         3.83802             
20,    98,           5323.0,       54.316,         4.01063             
21,    102,          6623.0,       64.931,         3.89036             
22,    94,           5942.0,       63.213,         3.93074             
23,    99,           7231.0,       73.040,         3.90208             
24,    96,           7058.0,       73.521,         3.96759             
25,    89,           7156.0,       80.404,         4.02907             
26,    85,           9919.0,       116.694,        4.14059             
27,    87,           9530.0,       109.540,        4.21033             
28,    87,           8760.0,       100.690,        4.29636             
29,    95,           8456.0,       89.011,         4.42848             
30,    86,           9056.0,       105.302,        4.62768             
31,    96,           10841.0,      112.927,        4.52744             
32,    87,           11357.0,      130.540,        4.60868             
33,    87,           12069.0,      138.724,        4.58791             
34,    94,           9910.0,       105.426,        4.80574             
35,    82,           11541.0,      140.744,        5.0182              
36,    85,           12673.0,      149.094,        5.26182             
37,    83,           10386.0,      125.133,        5.28807             
38,    80,           12313.0,      153.912,        5.36999             
39,    84,           12542.0,      149.310,        5.60738             
40,    103,          12539.0,      121.738,        5.6829              
41,    79,           12698.0,      160.734,        5.91971             
42,    79,           14801.0,      187.354,        6.1142              
43,    83,           12405.0,      149.458,        6.11448             
44,    80,           13783.0,      172.287,        6.43737             
45,    75,           13907.0,      185.427,        6.53879             
46,    77,           13539.0,      175.831,        6.61699             
47,    155,          5098.0,       32.890,         6.59418             
48,    119,          6636.0,       55.765,         6.73553             
49,    78,           14266.0,      182.897,        6.9853              
50,    104,          11366.0,      109.288,        7.15343             
51,    80,           12730.0,      159.125,        7.23423             
52,    83,           12448.0,      149.976,        7.39709             
53,    85,           12196.0,      143.482,        7.17561             
54,    88,           14540.0,      165.227,        6.80602             
55,    89,           11765.0,      132.191,        6.80897             
56,    90,           11194.0,      124.378,        6.87235             
