Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     164,          -3444.0,      -21.000,        0.547939            
2,     163,          -3421.0,      -20.988,        0.456034            
3,     131,          -2751.0,      -21.000,        0.227078            
4,     127,          -2622.0,      -20.646,        -0.095642           
5,     164,          -3444.0,      -21.000,        -0.241903           
6,     65,           -1184.0,      -18.215,        -0.370325           
7,     92,           -1780.0,      -19.348,        -0.375916           
8,     59,           -1041.0,      -17.644,        -0.213418           
9,     116,          -2393.0,      -20.629,        -0.0704625          
10,    58,           -1009.0,      -17.397,        -0.123416           
11,    79,           -1520.0,      -19.241,        -0.100064           
12,    62,           -1149.0,      -18.532,        -0.0194323          
13,    50,           -938.0,       -18.760,        -0.0166135          
14,    58,           -1099.0,      -18.948,        0.0306837           
15,    62,           -1126.0,      -18.161,        0.0413048           
16,    61,           -1078.0,      -17.672,        0.153927            
17,    63,           -1141.0,      -18.111,        0.108714            
18,    74,           -1475.0,      -19.932,        0.17254             
19,    59,           -1096.0,      -18.576,        0.236746            
20,    54,           -1044.0,      -19.333,        0.269335            
21,    51,           -876.0,       -17.176,        0.255666            
22,    106,          -2161.0,      -20.387,        0.192575            
23,    78,           -1532.0,      -19.641,        0.29405             
24,    57,           -1089.0,      -19.105,        0.0999732           
25,    46,           -749.0,       -16.283,        0.223729            
26,    43,           -633.0,       -14.721,        0.267358            
27,    42,           -621.0,       -14.786,        0.317915            
28,    48,           -823.0,       -17.146,        0.340537            
29,    49,           -802.0,       -16.367,        0.510763            
30,    63,           -1140.0,      -18.095,        0.498524            
31,    72,           -1370.0,      -19.028,        0.32808             
32,    61,           -1104.0,      -18.098,        0.197372            
33,    129,          -2670.0,      -20.698,        0.227241            
34,    67,           -1378.0,      -20.567,        0.35502             
35,    63,           -1210.0,      -19.206,        0.496811            
36,    57,           -1041.0,      -18.263,        0.522021            
37,    80,           -1573.0,      -19.663,        0.552432            
38,    55,           -926.0,       -16.836,        0.447318            
39,    64,           -1145.0,      -17.891,        0.446733            
40,    60,           -1045.0,      -17.417,        0.240105            
41,    54,           -926.0,       -17.148,        0.109106            
42,    89,           -1724.0,      -19.371,        0.222256            
43,    58,           -1047.0,      -18.052,        0.242877            
44,    72,           -1442.0,      -20.028,        0.318893            
45,    73,           -1353.0,      -18.534,        0.642845            
46,    52,           -885.0,       -17.019,        0.493037            
47,    87,           -1739.0,      -19.989,        0.484222            
48,    51,           -890.0,       -17.451,        0.485495            
49,    48,           -772.0,       -16.083,        0.313339            
50,    80,           -1545.0,      -19.312,        0.473395            
51,    94,           -1794.0,      -19.085,        0.246694            
52,    87,           -1711.0,      -19.667,        0.386996            
53,    94,           -1867.0,      -19.862,        0.479419            
54,    98,           -1984.0,      -20.245,        0.564957            
55,    84,           -1611.0,      -19.179,        0.523461            
56,    72,           -1234.0,      -17.139,        0.442187            
57,    150,          -3113.0,      -20.753,        0.31244             
58,    86,           -1710.0,      -19.884,        0.250768            
59,    124,          -2540.0,      -20.484,        0.0759485           
60,    132,          -2754.0,      -20.864,        0.0918362           
61,    131,          -2662.0,      -20.321,        -0.0148709          
62,    93,           -1828.0,      -19.656,        0.0324633           
63,    164,          -3444.0,      -21.000,        0.0486147           
64,    149,          -3120.0,      -20.940,        -0.471634           
65,    164,          -3444.0,      -21.000,        -0.392086           
66,    164,          -3444.0,      -21.000,        -0.121194           
67,    162,          -3398.0,      -20.975,        -0.188371           
68,    163,          -3420.0,      -20.982,        -0.595286           
69,    164,          -3444.0,      -21.000,        -0.157532           
70,    161,          -3379.0,      -20.988,        -0.112921           
71,    164,          -3443.0,      -20.994,        -0.338774           
72,    98,           -1999.0,      -20.398,        -0.213667           
73,    110,          -2282.0,      -20.745,        -0.600831           
74,    164,          -3444.0,      -21.000,        0.0413746           
75,    123,          -2536.0,      -20.618,        0.418159            
76,    118,          -2451.0,      -20.771,        1.17564             
77,    149,          -3129.0,      -21.000,        1.44374             
78,    164,          -3444.0,      -21.000,        0.987419            
79,    150,          -3144.0,      -20.960,        0.935829            
80,    151,          -3149.0,      -20.854,        0.841545            
81,    138,          -2877.0,      -20.848,        0.856639            
82,    154,          -3234.0,      -21.000,        0.709236            
83,    164,          -3444.0,      -21.000,        0.57344             
84,    156,          -3276.0,      -21.000,        0.661517            
85,    105,          -2148.0,      -20.457,        -0.062913           
86,    157,          -3297.0,      -21.000,        0.43673             
87,    164,          -3444.0,      -21.000,        0.229251            
88,    126,          -2588.0,      -20.540,        0.529753            
89,    137,          -2856.0,      -20.847,        0.535129            
90,    96,           -1986.0,      -20.688,        0.87861             
91,    93,           -1940.0,      -20.860,        0.492432            
92,    142,          -2981.0,      -20.993,        0.208279            
93,    158,          -3318.0,      -21.000,        -0.0779523          
94,    164,          -3444.0,      -21.000,        0.244527            
95,    147,          -3087.0,      -21.000,        -0.477821           
96,    164,          -3444.0,      -21.000,        -0.310909           
97,    164,          -3444.0,      -21.000,        -0.43645            
98,    127,          -2660.0,      -20.945,        -0.327241           
99,    164,          -3444.0,      -21.000,        -1.16105            
100,   136,          -2855.0,      -20.993,        -0.915969           
101,   164,          -3444.0,      -21.000,        -0.812634           
102,   157,          -3297.0,      -21.000,        -1.20161            
103,   142,          -2979.0,      -20.979,        -0.100803           
104,   123,          -2551.0,      -20.740,        -0.203942           
105,   99,           -2071.0,      -20.919,        0.124131            
106,   161,          -3379.0,      -20.988,        -0.251774           
107,   154,          -3234.0,      -21.000,        0.00121134          
108,   134,          -2804.0,      -20.925,        0.798125            
109,   128,          -2688.0,      -21.000,        1.01868             
110,   164,          -3444.0,      -21.000,        1.53407             
111,   97,           -2005.0,      -20.670,        1.57002             
112,   156,          -3272.0,      -20.974,        1.43966             
113,   163,          -3421.0,      -20.988,        1.35376             
114,   109,          -2173.0,      -19.936,        1.34579             
115,   108,          -2162.0,      -20.019,        1.36243             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
116,   107,          -2245.0,      -20.981,        1.43432             
117,   164,          -3444.0,      -21.000,        1.26591             
118,   164,          -3444.0,      -21.000,        1.16573             
119,   159,          -3339.0,      -21.000,        1.19348             
120,   162,          -3400.0,      -20.988,        1.16017             
121,   98,           -1983.0,      -20.235,        1.21959             
122,   137,          -2872.0,      -20.964,        1.06724             
123,   125,          -2598.0,      -20.784,        1.01982             
124,   88,           -1847.0,      -20.989,        0.930321            
125,   121,          -2480.0,      -20.496,        0.829995            
126,   104,          -2110.0,      -20.288,        0.876906            
127,   161,          -3379.0,      -20.988,        0.892513            
128,   92,           -1812.0,      -19.696,        0.638091            
129,   106,          -2143.0,      -20.217,        0.562121            
130,   107,          -2154.0,      -20.131,        0.728656            
131,   164,          -3444.0,      -21.000,        0.803587            
132,   97,           -1927.0,      -19.866,        0.824407            
133,   132,          -2743.0,      -20.780,        0.93027             
134,   150,          -3120.0,      -20.800,        0.865885            
135,   131,          -2679.0,      -20.450,        0.74577             
136,   109,          -2242.0,      -20.569,        0.769178            
137,   143,          -2997.0,      -20.958,        0.665205            
138,   120,          -2501.0,      -20.842,        0.69839             
139,   114,          -2301.0,      -20.184,        0.564889            
140,   64,           -868.0,       -13.562,        0.765879            
141,   91,           -1864.0,      -20.484,        0.795949            
142,   106,          -2209.0,      -20.840,        0.847129            
143,   148,          -3048.0,      -20.595,        0.751814            
144,   153,          -3207.0,      -20.961,        0.693491            
145,   161,          -3375.0,      -20.963,        0.794104            
146,   94,           -1960.0,      -20.851,        0.713236            
147,   143,          -2980.0,      -20.839,        0.593007            
148,   164,          -3444.0,      -21.000,        0.705134            
149,   147,          -3077.0,      -20.932,        0.689969            
150,   80,           -1556.0,      -19.450,        0.698031            
151,   118,          -2380.0,      -20.169,        0.733555            
