Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     86,           42020.0,      488.605,        1.02656             
2,     202,          99570.0,      492.921,        1.90482             
3,     170,          79150.0,      465.588,        2.55974             
4,     149,          98820.0,      663.221,        3.19663             
5,     10,           30730.0,      3073.000,       3.82179             
6,     7,            24630.0,      3518.571,       4.39416             
7,     1,            5430.0,       5430.000,       4.71092             
8,     1,            4910.0,       4910.000,       4.78506             
9,     64,           124140.0,     1939.688,       4.88625             
10,    6,            23830.0,      3971.667,       4.67215             
11,    4,            17260.0,      4315.000,       4.78048             
12,    30,           87300.0,      2910.000,       4.96911             
13,    40,           143820.0,     3595.500,       4.92226             
14,    2,            7120.0,       3560.000,       4.84184             
15,    70,           310000.0,     4428.571,       5.02547             
16,    55,           238980.0,     4345.091,       4.85229             
17,    5,            15680.0,      3136.000,       4.75118             
18,    72,           286100.0,     3973.611,       4.90241             
19,    14,           61160.0,      4368.571,       4.97077             
20,    28,           125230.0,     4472.500,       5.1148              
21,    1,            4710.0,       4710.000,       5.39333             
22,    9,            19920.0,      2213.333,       5.21517             
23,    1,            5450.0,       5450.000,       4.74037             
24,    20,           44680.0,      2234.000,       4.24402             
25,    32,           120090.0,     3752.812,       3.87192             
26,    11,           43510.0,      3955.455,       3.98645             
27,    1,            4430.0,       4430.000,       4.24124             
28,    1,            4580.0,       4580.000,       4.25119             
29,    2,            9390.0,       4695.000,       4.22819             
30,    1,            4930.0,       4930.000,       4.1829              
31,    15,           47360.0,      3157.333,       4.02323             
32,    2,            7860.0,       3930.000,       4.10202             
33,    32,           144430.0,     4513.438,       3.75571             
34,    1,            5130.0,       5130.000,       3.77005             
35,    1,            4610.0,       4610.000,       4.06958             
36,    1,            4300.0,       4300.000,       4.17952             
37,    1,            4550.0,       4550.000,       4.37346             
38,    12,           53450.0,      4454.167,       4.50089             
39,    3,            13000.0,      4333.333,       4.60085             
40,    1,            2900.0,       2900.000,       4.16284             
41,    14,           34820.0,      2487.143,       3.79264             
42,    2,            6790.0,       3395.000,       3.48854             
43,    1,            5090.0,       5090.000,       3.54447             
44,    1,            5060.0,       5060.000,       3.70984             
45,    3,            12670.0,      4223.333,       3.91013             
46,    1,            4660.0,       4660.000,       4.11741             
47,    2,            5090.0,       2545.000,       3.72431             
48,    3,            12790.0,      4263.333,       3.65539             
49,    1,            5100.0,       5100.000,       3.71118             
50,    1,            4870.0,       4870.000,       3.59329             
51,    1,            1670.0,       1670.000,       3.47294             
52,    1,            4730.0,       4730.000,       3.7494              
53,    1,            5310.0,       5310.000,       3.71508             
54,    1,            4800.0,       4800.000,       4.03617             
55,    8,            21380.0,      2672.500,       4.06835             
56,    51,           178140.0,     3492.941,       3.92554             
57,    1,            4870.0,       4870.000,       3.94326             
58,    1,            5500.0,       5500.000,       4.00133             
59,    3,            11140.0,      3713.333,       4.10301             
60,    8,            24300.0,      3037.500,       4.52502             
61,    1,            5000.0,       5000.000,       4.54949             
62,    1,            4950.0,       4950.000,       4.47299             
63,    2,            5450.0,       2725.000,       4.23895             
64,    1,            5190.0,       5190.000,       4.24621             
65,    1,            5130.0,       5130.000,       4.10629             
66,    2,            9680.0,       4840.000,       4.01878             
67,    10,           43680.0,      4368.000,       4.07578             
68,    2,            9590.0,       4795.000,       3.82797             
69,    6,            20850.0,      3475.000,       4.65995             
70,    39,           85830.0,      2200.769,       4.8994              
71,    2,            6670.0,       3335.000,       5.63282             
72,    26,           39300.0,      1511.538,       5.52259             
73,    7,            22550.0,      3221.429,       5.4889              
74,    5,            22220.0,      4444.000,       5.43667             
75,    23,           87870.0,      3820.435,       5.21006             
76,    27,           119060.0,     4409.630,       5.50528             
77,    5,            17110.0,      3422.000,       5.66188             
78,    65,           211880.0,     3259.692,       6.11555             
79,    1,            4650.0,       4650.000,       5.75657             
80,    9,            39540.0,      4393.333,       5.51587             
81,    1,            4730.0,       4730.000,       5.18806             
82,    1,            3430.0,       3430.000,       4.77009             
83,    1,            2710.0,       2710.000,       4.86201             
84,    1,            3950.0,       3950.000,       4.67565             
85,    1,            5330.0,       5330.000,       5.01418             
86,    1,            5280.0,       5280.000,       5.37217             
87,    58,           166710.0,     2874.310,       5.32117             
88,    1,            5950.0,       5950.000,       5.37776             
89,    25,           110120.0,     4404.800,       5.35435             
