Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     138,          51830.0,      375.580,        0.884733            
2,     188,          76610.0,      407.500,        1.91512             
3,     191,          89920.0,      470.785,        2.80927             
4,     4,            1320.0,       330.000,        3.13644             
5,     60,           120170.0,     2002.833,       3.40893             
6,     10,           22600.0,      2260.000,       4.0356              
7,     16,           48880.0,      3055.000,       4.42831             
8,     22,           87600.0,      3981.818,       4.41907             
9,     30,           67600.0,      2253.333,       4.58516             
10,    43,           176480.0,     4104.186,       4.63788             
11,    60,           201000.0,     3350.000,       4.7757              
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
13,    23,           56890.0,      2473.478,       4.97242             
14,    49,           231710.0,     4728.776,       5.44679             
15,    60,           234790.0,     3913.167,       5.55244             
16,    64,           217350.0,     3396.094,       5.77946             
17,    66,           292980.0,     4439.091,       5.76399             
18,    14,           52700.0,      3764.286,       5.9918              
19,    27,           76290.0,      2825.556,       5.86649             
20,    11,           43010.0,      3910.000,       5.71609             
21,    60,           221110.0,     3685.167,       5.70291             
22,    1,            140.0,        140.000,        5.26824             
23,    66,           295410.0,     4475.909,       5.31963             
24,    76,           118150.0,     1554.605,       4.96141             
25,    50,           90200.0,      1804.000,       4.63351             
26,    65,           161540.0,     2485.231,       4.20432             
27,    2,            8770.0,       4385.000,       3.53669             
28,    3,            4370.0,       1456.667,       3.46411             
29,    3,            9940.0,       3313.333,       3.06845             
30,    6,            24830.0,      4138.333,       3.60639             
31,    77,           286060.0,     3715.065,       3.85182             
32,    38,           161180.0,     4241.579,       4.42076             
33,    1,            5030.0,       5030.000,       4.78969             
34,    3,            9810.0,       3270.000,       4.09903             
35,    1,            4460.0,       4460.000,       4.21511             
36,    1,            3180.0,       3180.000,       4.15604             
37,    44,           209290.0,     4756.591,       3.83855             
38,    74,           328480.0,     4438.919,       4.59544             
39,    47,           150770.0,     3207.872,       4.555               
40,    15,           76070.0,      5071.333,       4.40671             
41,    1,            5240.0,       5240.000,       4.62735             
42,    3,            10690.0,      3563.333,       4.54813             
43,    2,            6210.0,       3105.000,       4.56395             
44,    1,            4980.0,       4980.000,       4.43053             
45,    74,           308050.0,     4162.838,       3.80959             
46,    89,           237440.0,     2667.865,       3.35207             
47,    4,            15320.0,      3830.000,       3.34623             
48,    68,           215360.0,     3167.059,       3.48336             
49,    72,           251620.0,     3494.722,       4.04694             
