Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     124,          15950.0,      128.629,        1.29787             
2,     50,           4490.0,       89.800,         2.24673             
3,     96,           28905.0,      301.094,        2.50506             
4,     68,           18960.0,      278.824,        3.16386             
5,     1,            70.0,         70.000,         4.03066             
6,     26,           102720.0,     3950.769,       4.64832             
7,     1,            60.0,         60.000,         5.20806             
8,     33,           130865.0,     3965.606,       5.72221             
9,     40,           92295.0,      2307.375,       5.68983             
10,    50,           64265.0,      1285.300,       5.81466             
11,    21,           25555.0,      1216.905,       5.96316             
12,    35,           106645.0,     3047.000,       6.23084             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
13,    9,            28535.0,      3170.556,       5.93534             
14,    25,           94265.0,      3770.600,       6.14677             
15,    1,            385.0,        385.000,        6.48032             
16,    36,           117995.0,     3277.639,       6.59938             
17,    12,           30815.0,      2567.917,       6.822               
18,    65,           92165.0,      1417.923,       6.63872             
19,    42,           126385.0,     3009.167,       6.80101             
20,    1,            780.0,        780.000,        6.82873             
21,    59,           107125.0,     1815.678,       6.77802             
22,    34,           113800.0,     3347.059,       7.07939             
23,    4,            4600.0,       1150.000,       6.93425             
24,    48,           107375.0,     2236.979,       7.02649             
25,    5,            17320.0,      3464.000,       7.32147             
26,    33,           45155.0,      1368.333,       7.06179             
27,    6,            6645.0,       1107.500,       6.88928             
28,    3,            7150.0,       2383.333,       6.9573              
29,    1,            265.0,        265.000,        7.16201             
30,    32,           47800.0,      1493.750,       7.12432             
31,    1,            2080.0,       2080.000,       7.13                
32,    46,           120945.0,     2629.239,       7.17327             
33,    42,           103920.0,     2474.286,       7.13478             
34,    3,            2460.0,       820.000,        7.42764             
35,    42,           129790.0,     3090.238,       7.41706             
36,    12,           7905.0,       658.750,        7.48843             
37,    4,            14660.0,      3665.000,       7.48452             
38,    3,            7770.0,       2590.000,       7.46577             
39,    60,           75680.0,      1261.333,       7.43519             
40,    49,           103810.0,     2118.571,       7.4927              
41,    76,           68990.0,      907.763,        7.53226             
42,    5,            15245.0,      3049.000,       7.45929             
43,    2,            5685.0,       2842.500,       7.5154              
44,    3,            8550.0,       2850.000,       7.49028             
45,    54,           102290.0,     1894.259,       7.3134              
46,    31,           52645.0,      1698.226,       7.58091             
47,    40,           60395.0,      1509.875,       7.46759             
