Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     207,          29080.0,      140.483,        0.927691            
2,     231,          43300.0,      187.446,        1.98414             
3,     182,          91970.0,      505.330,        2.27742             
4,     196,          67210.0,      342.908,        4.12753             
5,     90,           122080.0,     1356.444,       4.17311             
6,     51,           172740.0,     3387.059,       4.84485             
7,     51,           239120.0,     4688.627,       5.62568             
8,     1,            5660.0,       5660.000,       6.20126             
9,     5,            21140.0,      4228.000,       6.05737             
10,    4,            11570.0,      2892.500,       5.70263             
11,    26,           118240.0,     4547.692,       5.21086             
12,    22,           99000.0,      4500.000,       5.1683              
13,    62,           273240.0,     4407.097,       5.44464             
14,    49,           219560.0,     4480.816,       5.62362             
15,    51,           127250.0,     2495.098,       5.59236             
16,    67,           291250.0,     4347.015,       5.80504             
17,    59,           233900.0,     3964.407,       5.83911             
18,    50,           206650.0,     4133.000,       5.79261             
19,    78,           159870.0,     2049.615,       6.32667             
20,    24,           109080.0,     4545.000,       6.25174             
21,    1,            5410.0,       5410.000,       5.79338             
22,    1,            5050.0,       5050.000,       5.85673             
23,    10,           32980.0,      3298.000,       5.21771             
24,    3,            6270.0,       2090.000,       4.43967             
25,    15,           42200.0,      2813.333,       4.39587             
26,    30,           104460.0,     3482.000,       4.22815             
27,    3,            7090.0,       2363.333,       5.44966             
28,    5,            14890.0,      2978.000,       6.56726             
29,    1,            5220.0,       5220.000,       6.58548             
30,    1,            5400.0,       5400.000,       6.0692              
31,    1,            4350.0,       4350.000,       5.49881             
32,    13,           51670.0,      3974.615,       5.41353             
33,    6,            17540.0,      2923.333,       5.46072             
34,    3,            8570.0,       2856.667,       5.79734             
35,    9,            26910.0,      2990.000,       5.56665             
36,    1,            4810.0,       4810.000,       4.998               
37,    1,            5040.0,       5040.000,       4.63763             
38,    8,            32550.0,      4068.750,       4.75217             
39,    4,            7580.0,       1895.000,       4.95455             
40,    1,            4290.0,       4290.000,       4.60767             
41,    3,            14620.0,      4873.333,       4.42515             
42,    11,           48010.0,      4364.545,       3.85742             
43,    1,            5450.0,       5450.000,       4.3496              
44,    1,            4970.0,       4970.000,       5.24809             
45,    1,            5550.0,       5550.000,       5.75581             
46,    1,            4540.0,       4540.000,       5.57004             
47,    3,            13030.0,      4343.333,       4.93628             
48,    3,            7660.0,       2553.333,       4.31946             
49,    4,            20560.0,      5140.000,       4.45209             
50,    8,            34560.0,      4320.000,       5.06267             
51,    1,            4830.0,       4830.000,       5.5804              
52,    11,           22400.0,      2036.364,       6.41594             
53,    10,           38360.0,      3836.000,       6.39593             
54,    1,            180.0,        180.000,        6.13391             
55,    1,            5270.0,       5270.000,       6.49816             
56,    1,            2820.0,       2820.000,       5.73496             
57,    40,           123960.0,     3099.000,       5.48748             
58,    5,            8490.0,       1698.000,       5.50704             
59,    108,          70000.0,      648.148,        4.98612             
60,    1,            5440.0,       5440.000,       5.59005             
61,    1,            5010.0,       5010.000,       5.83656             
62,    35,           61220.0,      1749.143,       5.80981             
63,    1,            4760.0,       4760.000,       5.97733             
64,    3,            10200.0,      3400.000,       5.44395             
65,    27,           121500.0,     4500.000,       5.18815             
66,    35,           140020.0,     4000.571,       5.51746             
67,    1,            4120.0,       4120.000,       5.51582             
68,    5,            13290.0,      2658.000,       5.36783             
69,    8,            28260.0,      3532.500,       5.67869             
70,    1,            3800.0,       3800.000,       5.65144             
71,    2,            3430.0,       1715.000,       5.55996             
72,    3,            12760.0,      4253.333,       5.68022             
73,    6,            26910.0,      4485.000,       5.34724             
74,    1,            4630.0,       4630.000,       4.75272             
75,    3,            9300.0,       3100.000,       4.59848             
76,    1,            4560.0,       4560.000,       4.69695             
77,    1,            3370.0,       3370.000,       4.84961             
78,    20,           55120.0,      2756.000,       5.4395              
79,    21,           87350.0,      4159.524,       5.69069             
80,    17,           52220.0,      3071.765,       5.61195             
81,    1,            2390.0,       2390.000,       5.76095             
82,    17,           65660.0,      3862.353,       5.94604             
83,    2,            7760.0,       3880.000,       5.32196             
84,    1,            1820.0,       1820.000,       5.70623             
85,    8,            23360.0,      2920.000,       5.63322             
86,    41,           159400.0,     3887.805,       5.95308             
87,    5,            10860.0,      2172.000,       5.92627             
88,    8,            25170.0,      3146.250,       5.63922             
89,    2,            2390.0,       1195.000,       5.87875             
90,    7,            17940.0,      2562.857,       5.64301             
91,    12,           31930.0,      2660.833,       6.47245             
92,    28,           127950.0,     4569.643,       6.84868             
93,    1,            4810.0,       4810.000,       6.6502              
94,    4,            15940.0,      3985.000,       6.83117             
95,    59,           105840.0,     1793.898,       6.03429             
96,    2,            5700.0,       2850.000,       5.43437             
97,    53,           101700.0,     1918.868,       5.66479             
98,    2,            4760.0,       2380.000,       5.57605             
99,    37,           58680.0,      1585.946,       5.50318             
100,   1,            5140.0,       5140.000,       6.08161             
101,   22,           48330.0,      2196.818,       6.05239             
