Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     146,          24915.0,      170.651,        1.24316             
2,     10,           640.0,        64.000,         1.8369              
3,     121,          23570.0,      194.793,        2.0974              
4,     4,            1015.0,       253.750,        2.57306             
5,     23,           95285.0,      4142.826,       3.35562             
6,     12,           55145.0,      4595.417,       3.87728             
7,     1,            4260.0,       4260.000,       4.14536             
8,     1,            60.0,         60.000,         4.49711             
9,     41,           100320.0,     2446.829,       4.72295             
10,    11,           24765.0,      2251.364,       5.16482             
11,    38,           99785.0,      2625.921,       5.20671             
12,    1,            1780.0,       1780.000,       5.19762             
13,    1,            5420.0,       5420.000,       5.18105             
14,    14,           63005.0,      4500.357,       5.58084             
15,    20,           41390.0,      2069.500,       5.4284              
16,    5,            26630.0,      5326.000,       5.14275             
17,    2,            920.0,        460.000,        5.04025             
18,    32,           116995.0,     3656.094,       5.09579             
19,    34,           110190.0,     3240.882,       5.17052             
20,    1,            140.0,        140.000,        5.10098             
21,    1,            1040.0,       1040.000,       5.35558             
22,    1,            150.0,        150.000,        5.42889             
23,    31,           108660.0,     3505.161,       5.15165             
24,    3,            350.0,        116.667,        5.28612             
25,    7,            21995.0,      3142.143,       5.40602             
26,    1,            3000.0,       3000.000,       5.49525             
27,    1,            1800.0,       1800.000,       5.38877             
28,    32,           117770.0,     3680.312,       5.19502             
29,    3,            5040.0,       1680.000,       5.08826             
30,    12,           17480.0,      1456.667,       5.13315             
31,    27,           135665.0,     5024.630,       5.13514             
32,    33,           122935.0,     3725.303,       5.5777              
33,    25,           95635.0,      3825.400,       5.82237             
34,    25,           129910.0,     5196.400,       5.68087             
35,    10,           26750.0,      2675.000,       5.6292              
36,    18,           68015.0,      3778.611,       5.66131             
37,    1,            7255.0,       7255.000,       6.0037              
38,    7,            15815.0,      2259.286,       5.88956             
39,    25,           144790.0,     5791.600,       5.94768             
40,    32,           103385.0,     3230.781,       5.69102             
41,    14,           37455.0,      2675.357,       5.60483             
42,    1,            1240.0,       1240.000,       5.64268             
43,    27,           109880.0,     4069.630,       5.50936             
44,    7,            30390.0,      4341.429,       5.58969             
45,    19,           58115.0,      3058.684,       5.609               
46,    40,           99335.0,      2483.375,       5.40816             
47,    39,           95335.0,      2444.487,       5.25651             
48,    30,           103310.0,     3443.667,       5.31553             
49,    26,           143120.0,     5504.615,       5.22987             
50,    30,           61065.0,      2035.500,       5.26744             
51,    1,            1800.0,       1800.000,       5.24398             
52,    40,           99460.0,      2486.500,       5.41967             
53,    36,           77180.0,      2143.889,       5.37493             
54,    14,           52745.0,      3767.500,       5.12029             
55,    42,           93160.0,      2218.095,       5.19789             
56,    3,            3975.0,       1325.000,       5.21833             
57,    31,           126545.0,     4082.097,       5.21428             
58,    34,           140295.0,     4126.324,       5.19798             
59,    21,           113990.0,     5428.095,       5.18641             
60,    27,           133335.0,     4938.333,       5.14655             
61,    27,           122415.0,     4533.889,       5.27609             
62,    1,            150.0,        150.000,        5.19657             
63,    30,           127040.0,     4234.667,       5.32038             
64,    1,            150.0,        150.000,        5.38408             
65,    1,            325.0,        325.000,        5.45361             
66,    5,            17840.0,      3568.000,       5.49197             
67,    17,           108360.0,     6374.118,       5.32203             
68,    1,            70.0,         70.000,         5.37033             
69,    10,           34305.0,      3430.500,       5.29009             
70,    1,            4440.0,       4440.000,       5.17552             
71,    15,           82680.0,      5512.000,       5.47912             
72,    21,           104740.0,     4987.619,       5.52483             
73,    8,            50600.0,      6325.000,       5.51405             
74,    37,           107980.0,     2918.378,       5.56983             
75,    52,           86240.0,      1658.462,       5.4879              
76,    28,           124070.0,     4431.071,       5.5005              
77,    35,           46635.0,      1332.429,       5.47936             
78,    14,           54535.0,      3895.357,       5.45217             
79,    51,           79610.0,      1560.980,       5.35634             
80,    44,           117560.0,     2671.818,       5.19825             
81,    36,           71075.0,      1974.306,       5.37845             
82,    27,           117855.0,     4365.000,       5.60386             
83,    26,           150940.0,     5805.385,       5.69198             
84,    11,           34295.0,      3117.727,       5.57671             
85,    31,           137760.0,     4443.871,       5.75949             
86,    28,           167815.0,     5993.393,       5.9248              
87,    30,           110295.0,     3676.500,       5.83135             
88,    35,           125220.0,     3577.714,       5.74444             
89,    25,           103345.0,     4133.800,       5.93972             
90,    28,           146045.0,     5215.893,       5.96341             
91,    38,           136395.0,     3589.342,       5.97376             
92,    38,           106045.0,     2790.658,       6.00321             
93,    21,           8990.0,       428.095,        5.84287             
94,    4,            8630.0,       2157.500,       6.0167              
95,    1,            385.0,        385.000,        5.97101             
96,    31,           127590.0,     4115.806,       6.11182             
97,    27,           133805.0,     4955.741,       5.91475             
98,    20,           94920.0,      4746.000,       5.58348             
99,    35,           135205.0,     3863.000,       5.61968             
100,   29,           136875.0,     4719.828,       5.51887             
Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
102,   41,           67390.0,      1643.659,       4.82541             
103,   38,           95915.0,      2524.079,       5.22232             
104,   4,            13205.0,      3301.250,       5.44293             
105,   40,           73345.0,      1833.625,       5.56434             
106,   13,           52470.0,      4036.154,       5.58992             
107,   1,            680.0,        680.000,        5.63885             
108,   12,           32330.0,      2694.167,       5.74788             
109,   44,           86405.0,      1963.750,       5.58743             
110,   3,            8170.0,       2723.333,       5.62229             
111,   7,            26575.0,      3796.429,       5.66806             
112,   9,            23180.0,      2575.556,       5.68385             
113,   34,           95740.0,      2815.882,       5.72161             
114,   1,            325.0,        325.000,        5.67479             
115,   38,           85680.0,      2254.737,       5.40661             
116,   25,           29420.0,      1176.800,       5.2146              
117,   9,            17400.0,      1933.333,       5.24163             
118,   9,            14895.0,      1655.000,       5.23138             
119,   1,            150.0,        150.000,        5.11523             
120,   14,           25420.0,      1815.714,       4.99299             
121,   45,           60170.0,      1337.111,       4.9455              
122,   48,           72705.0,      1514.688,       4.75053             
123,   4,            6105.0,       1526.250,       4.78828             
124,   44,           58405.0,      1327.386,       4.723               
125,   39,           92625.0,      2375.000,       4.66329             
126,   33,           123030.0,     3728.182,       4.64528             
127,   43,           78500.0,      1825.581,       4.69571             
128,   1,            1440.0,       1440.000,       4.73867             
129,   41,           91120.0,      2222.439,       4.67942             
130,   37,           89080.0,      2407.568,       4.81695             
131,   1,            150.0,        150.000,        4.7907              
132,   71,           67355.0,      948.662,        4.65891             
133,   62,           66330.0,      1069.839,       4.62252             
134,   35,           52695.0,      1505.571,       4.50333             
