Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           4320.0,       144.000,        140.987,        1.03074             
2,     30,           4270.0,       142.333,        59.030,         1.67909             
3,     30,           4505.0,       150.167,        84.256,         2.4466              
4,     30,           2045.0,       68.167,         71.163,         2.90856             
5,     30,           4365.0,       145.500,        83.630,         2.99058             
6,     30,           11105.0,      370.167,        162.437,        3.42364             
7,     30,           7765.0,       258.833,        95.783,         4.07546             
8,     30,           11915.0,      397.167,        122.445,        4.12734             
9,     30,           12365.0,      412.167,        100.189,        4.42815             
10,    30,           5360.0,       178.667,        85.926,         4.94271             
11,    30,           15565.0,      518.833,        288.989,        5.12097             
12,    30,           12395.0,      413.167,        130.272,        4.96627             
13,    30,           9585.0,       319.500,        188.664,        5.25575             
14,    30,           11660.0,      388.667,        130.716,        5.35933             
15,    30,           16700.0,      556.667,        136.591,        5.59494             
16,    30,           16270.0,      542.333,        220.116,        5.53462             
17,    30,           17870.0,      595.667,        253.426,        5.52226             
18,    30,           17610.0,      587.000,        223.546,        5.70572             
19,    30,           16100.0,      536.667,        157.535,        6.11743             
20,    30,           16555.0,      551.833,        138.615,        6.34137             
21,    30,           19140.0,      638.000,        188.669,        6.50341             
22,    30,           8325.0,       277.500,        175.156,        6.4577              
23,    30,           15125.0,      504.167,        182.579,        6.61594             
24,    30,           17705.0,      590.167,        140.223,        6.26611             
25,    30,           19540.0,      651.333,        210.333,        6.11601             
26,    30,           18890.0,      629.667,        210.016,        6.1021              
27,    30,           15760.0,      525.333,        176.960,        6.12589             
28,    30,           15660.0,      522.000,        148.978,        6.02135             
29,    30,           17060.0,      568.667,        207.400,        6.316               
30,    30,           20400.0,      680.000,        328.664,        6.24143             
31,    30,           18560.0,      618.667,        224.072,        6.27449             
32,    30,           18710.0,      623.667,        231.901,        6.28221             
33,    30,           18195.0,      606.500,        120.209,        6.26274             
34,    30,           19435.0,      647.833,        231.900,        6.4074              
35,    30,           14680.0,      489.333,        186.707,        6.26931             
36,    30,           16715.0,      557.167,        140.438,        6.21767             
37,    30,           17330.0,      577.667,        170.889,        6.24817             
38,    30,           14365.0,      478.833,        173.271,        6.30086             
39,    30,           16870.0,      562.333,        159.962,        6.31165             
40,    30,           18470.0,      615.667,        155.947,        6.11284             
41,    30,           19640.0,      654.667,        236.668,        6.07065             
42,    30,           19545.0,      651.500,        251.420,        5.97901             
43,    30,           17265.0,      575.500,        108.814,        6.09738             
44,    30,           19975.0,      665.833,        208.902,        6.17877             
45,    30,           19665.0,      655.500,        232.039,        5.9797              
46,    30,           20430.0,      681.000,        156.372,        5.97352             
47,    30,           23085.0,      769.500,        310.254,        5.69163             
48,    30,           17650.0,      588.333,        130.922,        5.57843             
49,    30,           18180.0,      606.000,        137.583,        5.85217             
50,    30,           23900.0,      796.667,        301.146,        6.04724             
51,    30,           19025.0,      634.167,        201.027,        6.09559             
52,    30,           20000.0,      666.667,        166.890,        6.12627             
53,    30,           21290.0,      709.667,        197.108,        6.33943             
54,    30,           16265.0,      542.167,        187.997,        6.5505              
55,    30,           17460.0,      582.000,        190.987,        6.37703             
56,    30,           20640.0,      688.000,        178.015,        6.18321             
57,    30,           21245.0,      708.167,        225.387,        6.2381              
58,    30,           19255.0,      641.833,        194.188,        6.22807             
59,    30,           19100.0,      636.667,        156.367,        6.31153             
60,    30,           18020.0,      600.667,        110.210,        6.14522             
61,    30,           17380.0,      579.333,        213.759,        6.09137             
62,    30,           17960.0,      598.667,        220.809,        6.13929             
63,    30,           19905.0,      663.500,        144.748,        6.21119             
64,    30,           20685.0,      689.500,        245.687,        6.22561             
65,    30,           21285.0,      709.500,        293.378,        6.29102             
66,    30,           21615.0,      720.500,        285.393,        6.2833              
67,    30,           23215.0,      773.833,        273.699,        6.37383             
68,    30,           16645.0,      554.833,        128.300,        6.6802              
69,    30,           15950.0,      531.667,        176.887,        6.42338             
70,    30,           20955.0,      698.500,        295.198,        6.28846             
71,    30,           23985.0,      799.500,        279.858,        6.29307             
72,    30,           18830.0,      627.667,        167.281,        6.42305             
73,    30,           19395.0,      646.500,        200.500,        6.39692             
