Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           2785.0,       92.833,         57.339,         0.839652            
2,     30,           5995.0,       199.833,        107.211,        1.60262             
3,     30,           7985.0,       266.167,        146.172,        2.16037             
4,     30,           5020.0,       167.333,        73.186,         2.59472             
5,     30,           3330.0,       111.000,        61.717,         3.1509              
6,     30,           11020.0,      367.333,        186.779,        3.80236             
7,     30,           7655.0,       255.167,        136.994,        5.09016             
8,     30,           7215.0,       240.500,        66.713,         5.11359             
9,     30,           11940.0,      398.000,        125.131,        5.5007              
10,    30,           8565.0,       285.500,        113.368,        6.08115             
11,    30,           14340.0,      478.000,        164.649,        5.84127             
12,    30,           16050.0,      535.000,        167.894,        5.92918             
13,    30,           18265.0,      608.833,        101.749,        6.03288             
14,    30,           2825.0,       94.167,         78.773,         6.40562             
15,    30,           13450.0,      448.333,        179.296,        6.44979             
16,    30,           19550.0,      651.667,        176.103,        6.43479             
17,    30,           9370.0,       312.333,        255.551,        6.2031              
18,    30,           17615.0,      587.167,        197.272,        6.31291             
19,    30,           17390.0,      579.667,        147.738,        6.64658             
20,    30,           15775.0,      525.833,        135.105,        6.49631             
21,    30,           17870.0,      595.667,        190.371,        6.49065             
22,    30,           17610.0,      587.000,        142.212,        6.6486              
23,    30,           17570.0,      585.667,        122.262,        7.19583             
24,    30,           20245.0,      674.833,        227.620,        6.95386             
25,    30,           14555.0,      485.167,        202.795,        7.16583             
26,    30,           17390.0,      579.667,        179.095,        7.3245              
27,    30,           19195.0,      639.833,        183.337,        7.02016             
28,    30,           20100.0,      670.000,        202.509,        6.58978             
29,    30,           20325.0,      677.500,        263.903,        6.64904             
30,    30,           21565.0,      718.833,        244.000,        6.61086             
31,    30,           21250.0,      708.333,        313.309,        6.61037             
32,    30,           19825.0,      660.833,        176.073,        6.43596             
33,    30,           16720.0,      557.333,        136.185,        6.40538             
34,    30,           15265.0,      508.833,        190.559,        6.27132             
35,    30,           19905.0,      663.500,        165.157,        6.25638             
36,    30,           20440.0,      681.333,        230.282,        6.59803             
37,    30,           18925.0,      630.833,        190.788,        6.426               
38,    30,           22060.0,      735.333,        233.934,        6.41273             
39,    30,           20030.0,      667.667,        215.355,        6.57311             
40,    30,           21460.0,      715.333,        234.911,        6.5313              
41,    30,           20930.0,      697.667,        246.822,        6.53966             
42,    30,           19085.0,      636.167,        153.225,        6.12883             
43,    30,           21825.0,      727.500,        247.608,        6.24157             
44,    30,           18480.0,      616.000,        155.871,        6.48852             
45,    30,           22940.0,      764.667,        348.485,        6.55328             
46,    30,           22125.0,      737.500,        263.106,        6.50336             
47,    30,           21120.0,      704.000,        236.676,        6.39951             
48,    30,           18905.0,      630.167,        188.523,        6.63042             
49,    30,           19375.0,      645.833,        187.626,        6.64353             
50,    30,           19200.0,      640.000,        212.313,        6.38937             
51,    30,           21285.0,      709.500,        247.098,        6.23463             
52,    30,           21425.0,      714.167,        214.033,        6.24878             
53,    30,           20305.0,      676.833,        186.442,        6.12677             
54,    30,           19635.0,      654.500,        230.110,        6.12284             
55,    30,           18770.0,      625.667,        127.611,        6.04446             
56,    30,           21880.0,      729.333,        243.203,        5.96439             
57,    30,           22215.0,      740.500,        287.026,        5.92187             
58,    30,           23510.0,      783.667,        302.239,        5.81899             
59,    30,           19205.0,      640.167,        195.510,        6.00049             
60,    30,           24415.0,      813.833,        281.166,        6.0642              
61,    30,           21815.0,      727.167,        259.858,        5.93722             
62,    30,           25100.0,      836.667,        267.274,        6.07582             
63,    30,           20435.0,      681.167,        225.650,        6.19563             
64,    30,           18795.0,      626.500,        204.259,        6.14645             
65,    30,           19130.0,      637.667,        168.877,        6.22747             
66,    30,           20820.0,      694.000,        221.504,        6.22995             
67,    30,           19925.0,      664.167,        270.626,        6.09057             
68,    30,           19570.0,      652.333,        228.370,        6.07184             
69,    30,           20345.0,      678.167,        248.000,        5.89887             
70,    30,           19860.0,      662.000,        248.031,        5.9531              
71,    30,           17680.0,      589.333,        103.447,        5.96809             
72,    30,           21830.0,      727.667,        249.074,        5.89647             
73,    30,           21005.0,      700.167,        195.224,        5.90476             
74,    30,           21320.0,      710.667,        281.009,        6.05738             
75,    30,           21670.0,      722.333,        282.400,        6.03059             
76,    30,           20080.0,      669.333,        200.007,        5.84443             
77,    30,           18730.0,      624.333,        169.104,        5.71991             
78,    30,           21110.0,      703.667,        228.907,        5.61456             
79,    30,           19705.0,      656.833,        180.192,        5.79715             
80,    30,           24340.0,      811.333,        324.499,        5.85299             
81,    30,           19760.0,      658.667,        258.779,        5.80695             
82,    30,           19800.0,      660.000,        217.528,        6.21471             
83,    30,           22550.0,      751.667,        287.043,        6.14005             
84,    30,           18975.0,      632.500,        183.266,        6.35987             
85,    30,           21890.0,      729.667,        263.913,        6.4016              
86,    30,           22040.0,      734.667,        252.867,        6.08969             
87,    30,           17860.0,      595.333,        224.837,        6.04375             
88,    30,           18790.0,      626.333,        202.072,        6.07141             
89,    30,           18105.0,      603.500,        227.439,        6.39448             
90,    30,           19940.0,      664.667,        212.348,        6.23184             
91,    30,           23980.0,      799.333,        283.239,        6.15544             
92,    30,           23130.0,      771.000,        264.258,        5.90332             
93,    30,           20030.0,      667.667,        211.415,        5.9667              
94,    30,           20970.0,      699.000,        215.246,        6.14343             
95,    30,           22540.0,      751.333,        236.358,        6.22358             
96,    30,           26210.0,      873.667,        302.037,        6.20636             
97,    30,           19410.0,      647.000,        201.571,        6.10254             
98,    30,           21255.0,      708.500,        212.545,        6.12233             
99,    30,           19830.0,      661.000,        172.831,        6.12028             
100,   30,           17640.0,      588.000,        283.897,        6.11875             
101,   30,           25735.0,      857.833,        351.323,        5.97754             
102,   30,           20710.0,      690.333,        261.693,        6.11724             
103,   30,           13405.0,      446.833,        173.995,        6.30529             
104,   30,           24240.0,      808.000,        245.925,        6.34593             
105,   30,           16085.0,      536.167,        259.643,        6.51201             
106,   30,           20990.0,      699.667,        235.021,        6.43446             
107,   30,           18925.0,      630.833,        221.405,        6.59533             
108,   30,           20490.0,      683.000,        247.853,        6.39347             
109,   30,           24340.0,      811.333,        289.275,        6.27963             
110,   30,           20560.0,      685.333,        292.523,        6.31741             
111,   30,           20070.0,      669.000,        286.113,        6.21913             
112,   30,           22430.0,      747.667,        269.220,        6.11026             
113,   30,           22580.0,      752.667,        293.237,        6.52581             
114,   30,           17605.0,      586.833,        253.204,        6.50934             
115,   30,           26850.0,      895.000,        274.985,        6.3959              
116,   30,           21790.0,      726.333,        306.211,        6.45905             
117,   30,           23715.0,      790.500,        275.576,        6.38572             
118,   30,           26660.0,      888.667,        360.305,        6.58884             
119,   30,           24540.0,      818.000,        349.661,        6.38226             
120,   30,           21765.0,      725.500,        274.027,        6.39009             
121,   30,           20960.0,      698.667,        266.248,        6.22874             
122,   30,           21410.0,      713.667,        278.720,        6.17768             
123,   30,           24665.0,      822.167,        286.210,        6.15947             
124,   30,           13295.0,      443.167,        188.310,        6.38619             
125,   30,           23780.0,      792.667,        293.725,        6.40774             
126,   30,           22735.0,      757.833,        279.060,        6.39742             
127,   30,           25605.0,      853.500,        375.160,        6.42347             
128,   30,           27670.0,      922.333,        356.452,        6.50444             
129,   30,           20820.0,      694.000,        226.257,        6.23655             
130,   30,           19650.0,      655.000,        192.076,        6.26864             
131,   30,           20530.0,      684.333,        282.574,        6.11803             
132,   30,           12215.0,      407.167,        175.692,        6.32027             
133,   30,           24015.0,      800.500,        277.517,        6.30295             
134,   30,           19255.0,      641.833,        212.957,        6.21991             
135,   30,           26620.0,      887.333,        357.612,        6.28406             
136,   30,           27720.0,      924.000,        317.166,        6.12051             
137,   30,           22065.0,      735.500,        316.289,        6.09996             
138,   30,           24470.0,      815.667,        246.724,        6.14208             
139,   30,           21735.0,      724.500,        251.772,        6.04806             
140,   30,           21685.0,      722.833,        298.791,        6.36434             
141,   30,           25090.0,      836.333,        293.822,        6.56487             
142,   30,           25055.0,      835.167,        251.242,        6.72661             
143,   30,           25105.0,      836.833,        309.215,        6.79727             
144,   30,           27515.0,      917.167,        356.134,        6.94286             
145,   30,           26070.0,      869.000,        316.729,        6.9847              
146,   30,           25335.0,      844.500,        319.850,        6.75504             
147,   30,           23975.0,      799.167,        305.257,        6.68966             
148,   30,           22145.0,      738.167,        269.055,        6.79839             
149,   30,           20680.0,      689.333,        378.197,        6.76986             
150,   30,           18815.0,      627.167,        239.495,        6.41173             
151,   30,           26960.0,      898.667,        339.104,        6.39055             
152,   30,           26935.0,      897.833,        300.235,        6.27409             
153,   30,           23085.0,      769.500,        338.111,        6.36588             
154,   30,           22080.0,      736.000,        326.132,        6.31082             
155,   30,           20800.0,      693.333,        311.388,        6.29065             
156,   30,           23595.0,      786.500,        263.253,        6.2012              
157,   30,           27360.0,      912.000,        249.698,        6.18596             
158,   30,           20820.0,      694.000,        288.968,        6.58672             
159,   30,           29220.0,      974.000,        282.390,        6.45194             
160,   30,           20305.0,      676.833,        239.435,        6.55401             
161,   30,           23675.0,      789.167,        304.853,        6.53694             
162,   30,           26350.0,      878.333,        255.709,        6.3943              
163,   30,           23535.0,      784.500,        333.067,        6.48886             
164,   30,           19840.0,      661.333,        271.118,        6.36215             
