Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           2095.0,       69.833,         41.783,         1.14397             
2,     30,           810.0,        27.000,         22.789,         1.59564             
3,     30,           2295.0,       76.500,         45.463,         2.07327             
4,     30,           1550.0,       51.667,         37.424,         3.02412             
5,     30,           5025.0,       167.500,        109.093,        3.3133              
6,     30,           5900.0,       196.667,        94.033,         3.5028              
7,     30,           6985.0,       232.833,        149.987,        3.96007             
8,     30,           10390.0,      346.333,        133.685,        4.27167             
9,     30,           5980.0,       199.333,        159.587,        4.45991             
10,    30,           8030.0,       267.667,        87.880,         4.6919              
11,    30,           1720.0,       57.333,         74.013,         4.90294             
12,    30,           7945.0,       264.833,        126.560,        5.18709             
13,    30,           9320.0,       310.667,        129.304,        5.594               
14,    30,           5210.0,       173.667,        112.989,        6.11622             
15,    30,           2185.0,       72.833,         88.719,         6.32446             
16,    30,           7355.0,       245.167,        126.389,        6.55623             
17,    30,           8385.0,       279.500,        173.476,        6.58732             
18,    30,           9830.0,       327.667,        193.566,        6.61185             
19,    30,           11065.0,      368.833,        193.523,        6.59514             
20,    30,           8805.0,       293.500,        222.662,        6.49742             
21,    30,           5460.0,       182.000,        169.123,        6.81528             
22,    30,           10940.0,      364.667,        191.067,        6.76758             
23,    30,           14070.0,      469.000,        166.840,        6.81811             
24,    30,           12975.0,      432.500,        168.715,        6.64602             
25,    30,           15380.0,      512.667,        212.453,        6.49477             
26,    30,           8975.0,       299.167,        190.049,        6.75355             
27,    30,           11935.0,      397.833,        220.343,        6.81837             
28,    30,           9940.0,       331.333,        164.782,        6.99103             
29,    30,           7745.0,       258.167,        184.804,        7.10633             
30,    30,           10205.0,      340.167,        208.868,        7.09699             
31,    30,           13780.0,      459.333,        190.625,        7.10614             
32,    30,           10005.0,      333.500,        195.700,        7.05091             
33,    30,           12850.0,      428.333,        187.147,        6.87064             
34,    30,           13865.0,      462.167,        170.898,        7.02719             
35,    30,           10585.0,      352.833,        200.294,        6.82717             
36,    30,           12955.0,      431.833,        197.072,        6.7466              
37,    30,           13440.0,      448.000,        178.921,        6.77716             
38,    30,           13770.0,      459.000,        186.312,        6.8391              
39,    30,           6875.0,       229.167,        167.626,        6.81676             
40,    30,           11090.0,      369.667,        173.762,        6.626               
41,    30,           14255.0,      475.167,        185.730,        6.62859             
42,    30,           12570.0,      419.000,        259.453,        6.69073             
43,    30,           12780.0,      426.000,        188.708,        6.94154             
44,    30,           13515.0,      450.500,        210.821,        6.91603             
45,    30,           14745.0,      491.500,        180.855,        7.06159             
46,    30,           12620.0,      420.667,        224.869,        7.04015             
