Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1460.0,       48.667,         32.862,         0.782388            
2,     30,           2385.0,       79.500,         37.268,         1.3563              
3,     30,           215.0,        7.167,          8.630,          1.95695             
4,     30,           2015.0,       67.167,         39.784,         2.29502             
5,     30,           525.0,        17.500,         16.368,         2.73337             
6,     30,           3095.0,       103.167,        74.839,         3.01867             
7,     30,           2495.0,       83.167,         86.742,         2.89024             
8,     30,           5270.0,       175.667,        114.359,        3.13789             
9,     30,           8405.0,       280.167,        153.815,        3.47644             
10,    30,           3165.0,       105.500,        61.051,         3.89688             
11,    30,           3620.0,       120.667,        75.506,         4.36001             
12,    30,           3840.0,       128.000,        113.898,        4.70201             
13,    30,           3895.0,       129.833,        90.199,         5.1129              
14,    30,           2240.0,       74.667,         79.676,         5.5016              
15,    30,           6820.0,       227.333,        189.115,        5.99071             
16,    30,           5190.0,       173.000,        130.522,        5.93099             
17,    30,           13190.0,      439.667,        199.645,        6.33686             
18,    30,           7290.0,       243.000,        193.523,        6.7416              
19,    30,           4585.0,       152.833,        111.980,        7.06546             
20,    30,           9930.0,       331.000,        173.361,        7.26132             
21,    30,           995.0,        33.167,         27.218,         7.42421             
22,    30,           9295.0,       309.833,        187.423,        7.41151             
23,    30,           10855.0,      361.833,        235.179,        7.11948             
24,    30,           8740.0,       291.333,        162.634,        7.18853             
25,    30,           7840.0,       261.333,        185.450,        7.23767             
26,    30,           8790.0,       293.000,        149.491,        7.18683             
27,    30,           7400.0,       246.667,        218.919,        7.22376             
28,    30,           8255.0,       275.167,        180.912,        7.31843             
29,    30,           13280.0,      442.667,        175.165,        7.37091             
30,    30,           9695.0,       323.167,        154.857,        7.42424             
31,    30,           10675.0,      355.833,        200.225,        7.38995             
32,    30,           7270.0,       242.333,        175.821,        7.76773             
33,    30,           8585.0,       286.167,        187.828,        7.77418             
34,    30,           10160.0,      338.667,        221.750,        7.7446              
35,    30,           12055.0,      401.833,        206.642,        7.66258             
36,    30,           5265.0,       175.500,        155.672,        7.56156             
37,    30,           9745.0,       324.833,        200.406,        7.77876             
38,    30,           11165.0,      372.167,        246.771,        7.5951              
39,    30,           6645.0,       221.500,        145.615,        7.44339             
40,    30,           9565.0,       318.833,        200.830,        7.32636             
41,    30,           10840.0,      361.333,        183.534,        7.47564             
42,    30,           11145.0,      371.500,        197.024,        7.5892              
43,    30,           12245.0,      408.167,        169.265,        7.37072             
44,    30,           5515.0,       183.833,        112.470,        7.58357             
45,    30,           8545.0,       284.833,        258.016,        7.67135             
46,    30,           9575.0,       319.167,        194.097,        7.50337             
47,    30,           13840.0,      461.333,        233.545,        7.60249             
48,    30,           3560.0,       118.667,        115.144,        7.61935             
49,    30,           7000.0,       233.333,        168.609,        7.445               
50,    30,           6665.0,       222.167,        176.912,        7.42753             
51,    30,           12630.0,      421.000,        251.742,        7.50827             
52,    30,           7510.0,       250.333,        112.041,        7.41876             
53,    30,           10640.0,      354.667,        188.869,        7.20306             
54,    30,           8850.0,       295.000,        229.804,        7.37732             
55,    30,           10275.0,      342.500,        216.609,        7.22746             
