Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1465.0,       48.833,         31.509,         1.01873             
2,     30,           1975.0,       65.833,         71.578,         1.56959             
3,     30,           2015.0,       67.167,         44.660,         1.83903             
4,     30,           855.0,        28.500,         19.285,         2.17292             
5,     30,           2335.0,       77.833,         49.323,         2.09623             
6,     30,           5255.0,       175.167,        103.517,        2.37144             
7,     30,           5865.0,       195.500,        118.844,        2.51258             
8,     30,           5615.0,       187.167,        121.296,        2.78426             
9,     30,           9950.0,       331.667,        154.582,        3.02783             
10,    30,           6585.0,       219.500,        128.084,        3.06396             
11,    30,           8595.0,       286.500,        137.296,        3.19474             
12,    30,           7325.0,       244.167,        110.144,        3.51786             
13,    30,           6270.0,       209.000,        166.019,        3.49715             
14,    30,           9380.0,       312.667,        145.532,        3.46343             
15,    30,           6485.0,       216.167,        144.162,        3.61314             
16,    30,           9585.0,       319.500,        168.104,        3.68229             
17,    30,           9765.0,       325.500,        170.012,        3.76312             
18,    30,           9815.0,       327.167,        228.552,        4.12362             
19,    30,           10495.0,      349.833,        208.952,        4.12723             
20,    30,           13715.0,      457.167,        207.178,        4.33714             
21,    30,           14450.0,      481.667,        270.417,        4.40585             
22,    30,           11360.0,      378.667,        179.745,        4.74874             
23,    30,           10270.0,      342.333,        233.993,        4.90051             
24,    30,           13465.0,      448.833,        199.318,        5.0587              
25,    30,           11775.0,      392.500,        226.347,        4.9659              
26,    30,           15385.0,      512.833,        217.465,        4.7307              
27,    30,           11600.0,      386.667,        185.685,        4.56476             
28,    30,           10690.0,      356.333,        211.132,        4.76626             
29,    30,           13285.0,      442.833,        210.130,        4.7688              
30,    30,           11870.0,      395.667,        199.770,        5.05065             
31,    30,           12650.0,      421.667,        183.641,        5.03323             
32,    30,           13980.0,      466.000,        241.669,        4.98296             
33,    30,           15985.0,      532.833,        212.731,        5.01031             
34,    30,           13850.0,      461.667,        185.582,        5.03945             
35,    30,           9435.0,       314.500,        197.372,        5.17242             
36,    30,           14870.0,      495.667,        210.605,        5.01704             
37,    30,           6385.0,       212.833,        136.795,        4.99879             
38,    30,           11745.0,      391.500,        195.828,        5.03939             
39,    30,           13025.0,      434.167,        220.760,        5.00069             
40,    30,           18395.0,      613.167,        216.893,        4.90771             
41,    30,           8120.0,       270.667,        179.684,        4.8894              
42,    30,           13840.0,      461.333,        172.206,        4.95058             
43,    30,           9840.0,       328.000,        157.388,        4.71689             
44,    30,           11300.0,      376.667,        181.963,        4.47348             
45,    30,           13890.0,      463.000,        209.167,        4.59249             
46,    30,           11305.0,      376.833,        183.886,        4.82025             
47,    30,           12465.0,      415.500,        191.930,        4.95294             
48,    30,           11055.0,      368.500,        183.744,        4.94407             
49,    30,           13005.0,      433.500,        202.028,        4.64548             
50,    30,           10770.0,      359.000,        212.420,        4.83681             
51,    30,           14335.0,      477.833,        170.023,        4.92102             
52,    30,           8860.0,       295.333,        154.283,        4.85695             
53,    30,           11535.0,      384.500,        195.373,        4.85549             
54,    30,           10040.0,      334.667,        162.742,        4.7345              
55,    30,           12180.0,      406.000,        259.324,        4.68859             
56,    30,           9655.0,       321.833,        163.699,        4.65587             
57,    30,           13130.0,      437.667,        168.502,        4.66123             
58,    30,           8120.0,       270.667,        181.814,        4.71301             
59,    30,           9165.0,       305.500,        176.335,        4.58772             
60,    30,           13680.0,      456.000,        244.729,        4.72061             
61,    30,           13560.0,      452.000,        224.620,        4.68817             
62,    30,           6660.0,       222.000,        145.731,        4.87968             
63,    30,           11425.0,      380.833,        285.392,        4.6942              
64,    30,           12465.0,      415.500,        158.931,        4.71261             
65,    30,           9990.0,       333.000,        199.184,        4.71173             
66,    30,           11145.0,      371.500,        208.267,        4.98075             
67,    30,           7780.0,       259.333,        180.253,        4.8775              
68,    30,           9535.0,       317.833,        194.078,        4.81045             
69,    30,           8465.0,       282.167,        162.741,        4.79737             
70,    30,           10220.0,      340.667,        225.018,        4.73844             
71,    30,           8805.0,       293.500,        188.247,        4.40002             
72,    30,           12355.0,      411.833,        182.928,        4.57655             
73,    30,           9650.0,       321.667,        181.390,        4.32771             
74,    30,           14165.0,      472.167,        178.142,        4.37688             
75,    30,           11030.0,      367.667,        171.244,        4.27912             
76,    30,           9855.0,       328.500,        201.962,        4.06285             
77,    30,           8870.0,       295.667,        129.369,        4.46635             
78,    30,           11295.0,      376.500,        145.706,        4.43032             
79,    30,           8665.0,       288.833,        150.989,        4.56027             
80,    30,           10465.0,      348.833,        176.128,        4.7156              
81,    30,           10690.0,      356.333,        171.949,        4.79288             
82,    30,           9110.0,       303.667,        233.456,        4.69677             
83,    30,           12175.0,      405.833,        168.607,        4.75751             
84,    30,           8695.0,       289.833,        136.061,        4.6776              
85,    30,           9500.0,       316.667,        166.270,        5.15808             
86,    30,           9255.0,       308.500,        179.922,        5.21543             
87,    30,           8370.0,       279.000,        117.745,        5.33984             
88,    30,           9280.0,       309.333,        156.006,        5.26724             
89,    30,           9415.0,       313.833,        154.038,        5.38875             
90,    30,           8595.0,       286.500,        163.147,        5.40916             
91,    30,           8730.0,       291.000,        152.257,        5.09031             
92,    30,           7860.0,       262.000,        140.633,        4.86943             
93,    30,           7730.0,       257.667,        155.846,        4.59197             
94,    30,           9280.0,       309.333,        153.540,        4.69394             
95,    30,           6595.0,       219.833,        111.844,        4.33007             
96,    30,           11020.0,      367.333,        201.770,        4.40565             
97,    30,           9120.0,       304.000,        182.854,        4.38968             
98,    30,           10005.0,      333.500,        140.660,        4.2777              
99,    30,           9540.0,       318.000,        152.783,        4.32837             
100,   30,           9735.0,       324.500,        174.592,        4.28701             
101,   30,           8135.0,       271.167,        174.803,        4.46142             
102,   30,           8035.0,       267.833,        78.737,         4.39829             
103,   30,           10545.0,      351.500,        147.948,        4.61046             
104,   30,           9425.0,       314.167,        137.684,        4.33949             
105,   30,           10740.0,      358.000,        151.391,        4.37195             
106,   30,           11140.0,      371.333,        170.264,        4.2259              
107,   30,           9385.0,       312.833,        156.134,        4.03547             
108,   30,           10200.0,      340.000,        185.742,        4.12487             
109,   30,           11595.0,      386.500,        176.149,        3.99319             
110,   30,           10165.0,      338.833,        163.537,        4.19128             
111,   30,           8745.0,       291.500,        138.192,        4.17145             
112,   30,           11160.0,      372.000,        177.034,        4.02082             
