Epoch, Num Episodes, Total Reward, Average Reward, Mean best Q Value   
1,     360,          13670.0,      37.972,         1.03483             
2,     229,          31695.0,      138.406,        1.57457             
3,     274,          49300.0,      179.927,        1.93351             
4,     336,          20420.0,      60.774,         2.55348             
5,     160,          28090.0,      175.562,        2.9285              
6,     145,          30115.0,      207.690,        3.19929             
7,     160,          57890.0,      361.812,        3.57661             
8,     141,          47680.0,      338.156,        4.04153             
9,     153,          61260.0,      400.392,        4.28131             
10,    163,          46945.0,      288.006,        4.60763             
11,    178,          74890.0,      420.730,        4.75969             
12,    164,          47720.0,      290.976,        4.79496             
13,    162,          75610.0,      466.728,        4.89651             
14,    161,          74620.0,      463.478,        5.07413             
